File1,File2,File3,CORR_ANS,filename
amelia_consonants_28,amelia_consonants_10,ewan_58,B,stimulus83
amelia_consonants_22,amelia_consonants_7,ewan_55,B,stimulus87
amelia_vowels_18,amelia_vowels_25,ewan_25,B,stimulus43
ewan_50,ewan_68,amelia_consonants_20,B,stimulus86
ewan_41,ewan_10,amelia_vowels_41,A,stimulus36
ewan_87,ewan_70,amelia_consonants_22,B,stimulus94
amelia_vowels_37,amelia_vowels_22,ewan_22,B,stimulus38
ewan_90,ewan_68,amelia_consonants_42,A,stimulus92
ewan_95,ewan_70,amelia_consonants_22,B,stimulus90
amelia_vowels_45,amelia_vowels_14,ewan_14,B,stimulus34
amelia_consonants_15,amelia_consonants_30,ewan_78,B,stimulus82
ewan_63,ewan_102,amelia_consonants_54,B,stimulus142
ewan_94,ewan_63,amelia_consonants_46,A,stimulus129
amelia_consonants_38,amelia_consonants_55,ewan_103,B,stimulus135
amelia_vowels_22,amelia_vowels_45,ewan_45,B,stimulus47
amelia_consonants_15,amelia_consonants_46,ewan_63,A,stimulus132
amelia_consonants_38,amelia_consonants_15,ewan_63,B,stimulus139
amelia_consonants_36,amelia_consonants_10,ewan_84,A,stimulus137
ewan_92,ewan_58,amelia_consonants_10,B,stimulus131
ewan_22,ewan_37,amelia_vowels_22,A,stimulus37
amelia_consonants_54,amelia_consonants_15,ewan_102,A,stimulus141
amelia_consonants_50,amelia_consonants_36,ewan_98,A,stimulus136
ewan_18,ewan_41,amelia_vowels_18,A,stimulus45
amelia_vowels_41,amelia_vowels_18,ewan_18,B,stimulus46
ewan_98,ewan_84,amelia_consonants_36,B,stimulus134
ewan_78,ewan_63,amelia_consonants_30,A,stimulus81
amelia_consonants_22,amelia_consonants_47,ewan_70,A,stimulus89
amelia_consonants_22,amelia_consonants_39,ewan_70,A,stimulus93
amelia_consonants_20,amelia_consonants_34,ewan_82,B,stimulus95
ewan_22,ewan_29,amelia_vowels_22,A,stimulus41
amelia_consonants_10,amelia_consonants_52,ewan_58,A,stimulus144
amelia_vowels_10,amelia_vowels_41,ewan_10,A,stimulus33
ewan_86,ewan_103,amelia_consonants_38,A,stimulus133
ewan_18,ewan_33,amelia_vowels_33,B,stimulus39
amelia_consonants_2,amelia_consonants_20,ewan_50,A,stimulus88
amelia_consonants_20,amelia_consonants_42,ewan_90,B,stimulus91
ewan_45,ewan_22,amelia_vowels_45,A,stimulus48
amelia_vowels_33,amelia_vowels_18,ewan_33,A,stimulus40
ewan_100,ewan_58,amelia_consonants_10,B,stimulus143
ewan_58,ewan_84,amelia_consonants_10,A,stimulus140
ewan_58,ewan_76,amelia_consonants_10,A,stimulus84
ewan_82,ewan_68,amelia_consonants_34,A,stimulus96
ewan_63,ewan_86,amelia_consonants_38,B,stimulus138
ewan_70,ewan_55,amelia_consonants_22,A,stimulus85
ewan_25,ewan_18,amelia_vowels_25,A,stimulus44
ewan_14,ewan_45,amelia_vowels_45,B,stimulus35
amelia_consonants_10,amelia_consonants_44,ewan_92,B,stimulus130
amelia_vowels_29,amelia_vowels_22,ewan_22,B,stimulus42
ewan_14,ewan_37,amelia_vowels_37,B,stimulus27
ewan_94,ewan_87,amelia_consonants_39,B,stimulus123
amelia_consonants_30,amelia_consonants_39,ewan_87,B,stimulus75
ewan_76,ewan_50,amelia_consonants_2,B,stimulus67
ewan_10,ewan_17,amelia_vowels_10,A,stimulus21
amelia_consonants_34,amelia_consonants_44,ewan_82,A,stimulus124
