#file onset offset #item word interval
stimuli_raw/wav/Mrajesh1.wav 14.58966 15.01097 Mrajesh1_1 AKA 1
stimuli_raw/wav/Mrajesh1.wav 16.43404 16.84000 Mrajesh1_2 AKA 2
stimuli_raw/wav/Mrajesh1.wav 18.24565 18.65760 Mrajesh1_3 AKA 3
stimuli_raw/wav/Mrajesh1.wav 35.21000 35.69000 Mrajesh1_4 AKHA 4
stimuli_raw/wav/Mrajesh1.wav 37.05000 37.47000 Mrajesh1_5 AKHA 5
stimuli_raw/wav/Mrajesh1.wav 38.74864 39.21422 Mrajesh1_6 AKHA 6
stimuli_raw/wav/Mrajesh1.wav 53.57000 54.03000 Mrajesh1_7 AGA 7
stimuli_raw/wav/Mrajesh1.wav 55.35000 55.77000 Mrajesh1_8 AGA 8
stimuli_raw/wav/Mrajesh1.wav 57.22747 57.63011 Mrajesh1_9 AGA 9
stimuli_raw/wav/Mrajesh1.wav 70.14459 70.56000 Mrajesh1_10 AGHA 10
stimuli_raw/wav/Mrajesh1.wav 71.92680 72.34000 Mrajesh1_11 AGHA 11
stimuli_raw/wav/Mrajesh1.wav 73.69000 74.05000 Mrajesh1_12 AGHA 12
stimuli_raw/wav/Mrajesh1.wav 95.19726 95.62208 Mrajesh1_13 ATXA 13
stimuli_raw/wav/Mrajesh1.wav 97.16202 97.57235 Mrajesh1_14 ATXA 14
stimuli_raw/wav/Mrajesh1.wav 98.98678 99.36000 Mrajesh1_15 ATXA 15
stimuli_raw/wav/Mrajesh1.wav 102.34576 102.75000 Mrajesh1_16 ATXHA 16
stimuli_raw/wav/Mrajesh1.wav 104.15402 104.55000 Mrajesh1_17 ATXHA 17
stimuli_raw/wav/Mrajesh1.wav 105.91054 106.35000 Mrajesh1_18 ATXHA 18
stimuli_raw/wav/Mrajesh1.wav 108.90505 109.36000 Mrajesh1_19 ADXA 19
stimuli_raw/wav/Mrajesh1.wav 110.78631 111.19000 Mrajesh1_20 ADXA 20
stimuli_raw/wav/Mrajesh1.wav 112.56900 112.95000 Mrajesh1_21 ADXA 21
stimuli_raw/wav/Mrajesh1.wav 115.97803 116.38000 Mrajesh1_22 AZA 22
stimuli_raw/wav/Mrajesh1.wav 117.79049 118.17000 Mrajesh1_23 AZA 23
stimuli_raw/wav/Mrajesh1.wav 119.53255 119.95000 Mrajesh1_24 AZA 24
stimuli_raw/wav/Mrajesh1.wav 122.84000 123.28000 Mrajesh1_25 ADXA 25
stimuli_raw/wav/Mrajesh1.wav 124.77549 125.18796 Mrajesh1_26 ADXHA 26
stimuli_raw/wav/Mrajesh1.wav 126.66433 127.06000 Mrajesh1_27 ADXHA 27
stimuli_raw/wav/Mrajesh1.wav 130.05553 130.46000 Mrajesh1_28 ATRA 28
stimuli_raw/wav/Mrajesh1.wav 131.81828 132.24000 Mrajesh1_29 ATRA 29
stimuli_raw/wav/Mrajesh1.wav 133.67631 134.00547 Mrajesh1_30 ATRA 30
stimuli_raw/wav/Mrajesh1.wav 137.67462 138.11000 Mrajesh1_31 ATRHA 31
stimuli_raw/wav/Mrajesh1.wav 139.68812 140.09000 Mrajesh1_32 ATRHA 32
stimuli_raw/wav/Mrajesh1.wav 141.69000 142.09000 Mrajesh1_33 ATRHA 33
stimuli_raw/wav/Mrajesh1.wav 145.43970 145.82000 Mrajesh1_34 ADRA 34
stimuli_raw/wav/Mrajesh1.wav 147.26092 147.63000 Mrajesh1_35 ADRA 35
stimuli_raw/wav/Mrajesh1.wav 149.09229 149.45944 Mrajesh1_36 ADRA 36
stimuli_raw/wav/Mrajesh1.wav 152.43025 152.86000 Mrajesh1_37 ADRHA 37
stimuli_raw/wav/Mrajesh1.wav 154.30132 154.69000 Mrajesh1_38 ADRHA 38
stimuli_raw/wav/Mrajesh1.wav 156.13224 156.52000 Mrajesh1_39 ADRHA 39
stimuli_raw/wav/Mrajesh1.wav 161.00886 161.45000 Mrajesh1_40 ATA 40
stimuli_raw/wav/Mrajesh1.wav 162.79481 163.19000 Mrajesh1_41 ATA 41
stimuli_raw/wav/Mrajesh1.wav 164.65861 164.98000 Mrajesh1_42 ATA 42
stimuli_raw/wav/Mrajesh1.wav 168.15444 168.54000 Mrajesh1_43 ATHA 43
stimuli_raw/wav/Mrajesh1.wav 170.00742 170.45000 Mrajesh1_44 ATHA 44
stimuli_raw/wav/Mrajesh1.wav 171.97849 172.35000 Mrajesh1_45 ATHA 45
stimuli_raw/wav/Mrajesh1.wav 179.71000 180.13000 Mrajesh1_46 ADA 46
stimuli_raw/wav/Mrajesh1.wav 181.49373 181.88000 Mrajesh1_47 ADA 47
stimuli_raw/wav/Mrajesh1.wav 183.25495 183.57000 Mrajesh1_48 ADA 48
stimuli_raw/wav/Mrajesh1.wav 190.81563 191.25130 Mrajesh1_49 ADHA 49
stimuli_raw/wav/Mrajesh1.wav 192.64545 193.08000 Mrajesh1_50 ADHA 50
stimuli_raw/wav/Mrajesh1.wav 194.50738 194.90637 Mrajesh1_51 ADHA 51
stimuli_raw/wav/Mrajesh1.wav 198.67358 199.02000 Mrajesh1_52 ABA 52
stimuli_raw/wav/Mrajesh1.wav 200.47000 200.86000 Mrajesh1_53 ANA 53
stimuli_raw/wav/Mrajesh1.wav 202.37083 202.71000 Mrajesh1_54 ANA 54
stimuli_raw/wav/Mrajesh1.wav 205.83398 206.27632 Mrajesh1_55 APA 55
stimuli_raw/wav/Mrajesh1.wav 207.72776 208.09000 Mrajesh1_56 APA 56
stimuli_raw/wav/Mrajesh1.wav 209.57546 209.91000 Mrajesh1_57 APA 57
stimuli_raw/wav/Mrajesh1.wav 213.73002 214.13000 Mrajesh1_58 APHA 58
stimuli_raw/wav/Mrajesh1.wav 215.59956 216.03000 Mrajesh1_59 APHA 59
stimuli_raw/wav/Mrajesh1.wav 217.54482 217.97000 Mrajesh1_60 APHA 60
stimuli_raw/wav/Mrajesh1.wav 222.02000 222.41000 Mrajesh1_61 ABA 61
stimuli_raw/wav/Mrajesh1.wav 223.87000 224.25000 Mrajesh1_62 ABA 62
stimuli_raw/wav/Mrajesh1.wav 225.77000 226.19000 Mrajesh1_63 ABA 63
stimuli_raw/wav/Mrajesh1.wav 230.39151 230.76000 Mrajesh1_64 ABHA 64
