AB_Order,phone_TGT,phone_OTH,speaker_TGT,speaker_OTH,speaker_X,file_TGT,onset_TGT,offset_TGT,item_TGT,word_TGT,interval_TGT,sex_TGT,language_TGT,file_OTH,onset_OTH,offset_OTH,item_OTH,word_OTH,interval_OTH,sex_OTH,language_OTH,file_X,onset_X,offset_X,item_X,word_X,interval_X,sex_X,phone_X,language_X,triplet_id
TgtOth,kʰ,ɡʱ,Fsakshi,Fbhavya,Mnirbhay,stimuli_raw/wav/Fsakshi2.wav,43.29,43.74,Fsakshi2_6,AKHA,6,F,ENG,stimuli_raw/wav/Fbhavya1.wav,76.48,76.92138,Fbhavya1_11,AGHA,11,F,HIN,stimuli_raw/wav/Mnirbhay1.wav,27.76,28.24,Mnirbhay1_5,AKHA,5,M,kʰ,ENG,t_0290642
OthTgt,kʰ,ɡʱ,Mnirbhay,Mrajesh,Fbhavya,stimuli_raw/wav/Mnirbhay2.wav,23.67,24.19,Mnirbhay2_6,AKHA,6,M,ENG,stimuli_raw/wav/Mrajesh2.wav,35.80924,36.21,Mrajesh2_11,AGHA,11,M,HIN,stimuli_raw/wav/Fbhavya1.wav,42.9,43.35,Fbhavya1_6,AKHA,6,F,kʰ,ENG,t_0458148
TgtOth,kʰ,d͡ʒʱ,Mrajesh,Mnirbhay,Fbhavya,stimuli_raw/wav/Mrajesh1.wav,37.05,37.47,Mrajesh1_5,AKHA,5,M,ENG,stimuli_raw/wav/Mnirbhay2.wav,103.9,104.36,Mnirbhay2_27,ADXHA,27,M,HIN,stimuli_raw/wav/Fbhavya1.wav,38.87,39.26,Fbhavya1_4,AKHA,4,F,kʰ,ENG,t_0001399
OthTgt,kʰ,d͡ʒʱ,Fsakshi,Fbhavya,Mnirbhay,stimuli_raw/wav/Fsakshi1.wav,36.75,37.26,Fsakshi1_5,AKHA,5,F,ENG,stimuli_raw/wav/Fbhavya1.wav,195.16689,195.58,Fbhavya1_26,ADXHA,26,F,HIN,stimuli_raw/wav/Mnirbhay1.wav,29.65,30.12,Mnirbhay1_6,AKHA,6,M,kʰ,ENG,t_1334535
TgtOth,kʰ,ʈʰ,Mrajesh,Mnirbhay,Fbhavya,stimuli_raw/wav/Mrajesh1.wav,38.74864,39.21422000000001,Mrajesh1_6,AKHA,6,M,ENG,stimuli_raw/wav/Mnirbhay1.wav,210.15,210.61,Mnirbhay1_31,ATRHA,31,M,HIN,stimuli_raw/wav/Fbhavya2.wav,22.68,23.06,Fbhavya2_5,AKHA,5,F,kʰ,ENG,t_0003356
OthTgt,kʰ,ʈʰ,Fsakshi,Fbhavya,Mnirbhay,stimuli_raw/wav/Fsakshi1.wav,34.18,34.72,Fsakshi1_4,AKHA,4,F,ENG,stimuli_raw/wav/Fbhavya1.wav,232.99,233.38,Fbhavya1_33,ATRHA,33,F,HIN,stimuli_raw/wav/Mnirbhay1.wav,27.76,28.24,Mnirbhay1_5,AKHA,5,M,kʰ,ENG,t_1332866
TgtOth,kʰ,ɖ,Fbhavya,FNiralee,Mnirbhay,stimuli_raw/wav/Fbhavya1.wav,40.87,41.29,Fbhavya1_5,AKHA,5,F,ENG,stimuli_raw/wav/FNiralee1.wav,276.27178,276.7203,FNiralee1_34,ADRA,34,F,HIN,stimuli_raw/wav/Mnirbhay2.wav,18.06,18.58,Mnirbhay2_4,AKHA,4,M,kʰ,ENG,t_1166482
OthTgt,kʰ,ɖ,Fbhavya,Fsakshi,Mrajesh,stimuli_raw/wav/Fbhavya2.wav,20.36,20.782120000000006,Fbhavya2_4,AKHA,4,F,ENG,stimuli_raw/wav/Fsakshi1.wav,136.02507,136.42,Fsakshi1_36,ADRA,36,F,HIN,stimuli_raw/wav/Mrajesh1.wav,35.21,35.69,Mrajesh1_4,AKHA,4,M,kʰ,ENG,t_0580021
TgtOth,kʰ,ɖʱ,FNiralee,Fsakshi,Mrajesh,stimuli_raw/wav/FNiralee2.wav,19.69967,20.28724,FNiralee2_5,AKHA,5,F,ENG,stimuli_raw/wav/Fsakshi1.wav,143.10779,143.51,Fsakshi1_38,ADRHA,38,F,HIN,stimuli_raw/wav/Mrajesh2.wav,20.9532,21.35,Mrajesh2_5,AKHA,5,M,kʰ,ENG,t_0127352
OthTgt,kʰ,ɖʱ,FNiralee,Fsakshi,Mrajesh,stimuli_raw/wav/FNiralee2.wav,19.69967,20.28724,FNiralee2_5,AKHA,5,F,ENG,stimuli_raw/wav/Fsakshi1.wav,143.10779,143.51,Fsakshi1_38,ADRHA,38,F,HIN,stimuli_raw/wav/Mrajesh2.wav,20.9532,21.35,Mrajesh2_5,AKHA,5,M,kʰ,ENG,t_0127352
