_CORR_ANS,item_1,_tripletid,file_1,onset_1,offset_1,word_1,speaker_1,CV_1,context_1,phone_1,_target_other,context_2,CV_2,file_2,item_2,offset_2,onset_2,phone_2,speaker_2,word_2
A,Mnirbhay2_103,stimulus_0_A,raw_data/wav/Mnirbhay2.wav,737.96011,738.40035,ARTA,Mnirbhay2,C,I,ɽ,TGT,I,C,raw_data/wav/Fbhavya1.wav,Fbhavya1_103,336.99044,336.57115,ɽ,Fbhavya1,ARTA
B,Fbhavya2_103,stimulus_1_B,raw_data/wav/Fbhavya2.wav,396.54195,396.95617,ARTA,Fbhavya2,C,I,ɽ,TGT,I,C,raw_data/wav/Mnirbhay2.wav,Mnirbhay2_103,738.40035,737.96011,ɽ,Mnirbhay2,ARTA
B,Mnirbhay1_46,stimulus_2_B,raw_data/wav/Mnirbhay1.wav,372.64645,373.15218,ADA,Mnirbhay1,C,I,d,TGT,I,C,raw_data/wav/Fbhavya1.wav,Fbhavya1_46,180.13,179.71,d,Fbhavya1,ADA
B,Mrajesh1_74,stimulus_3_B,raw_data/wav/Mrajesh1.wav,307.76,308.17,ARA,Mrajesh1,C,I,ɾ,TGT,I,C,raw_data/wav/Fsakshi2.wav,Fsakshi2_105,281.60484,281.28485,ɽ,Fsakshi2,ARTA
A,Mrajesh2_103,stimulus_4_A,raw_data/wav/Mrajesh2.wav,417.44,417.87,ARTA,Mrajesh2,C,I,ɽ,TGT,I,C,raw_data/wav/FNiralee1.wav,FNiralee1_103,421.76,421.38014,ɽ,FNiralee1,ARTA
B,Fsakshi2_105,stimulus_5_B,raw_data/wav/Fsakshi2.wav,281.28485,281.60484,ARTA,Fsakshi2,C,I,ɽ,TGT,I,C,raw_data/wav/Mrajesh2.wav,Mrajesh2_105,425.01,424.6,ɽ,Mrajesh2,ARTA
B,Mrajesh2_75,stimulus_6_B,raw_data/wav/Mrajesh2.wav,295.55,295.94,ARA,Mrajesh2,C,I,ɾ,TGT,I,C,raw_data/wav/Fsakshi1.wav,Fsakshi1_75,220.94,220.6,ɾ,Fsakshi1,ARA
B,Mnirbhay1_40,stimulus_7_B,raw_data/wav/Mnirbhay1.wav,334.4052,334.87117,ATA,Mnirbhay1,C,I,t,TGT,I,C,raw_data/wav/Fbhavya1.wav,Fbhavya1_30,134.00547,133.67631,ʈ,Fbhavya1,ATRA
A,Fsakshi2_29,stimulus_8_A,raw_data/wav/Fsakshi2.wav,83.63506,84.02,ATRA,Fsakshi2,C,I,ʈ,TGT,I,C,raw_data/wav/Mrajesh1.wav,Mrajesh1_29,132.11,131.80583,ʈ,Mrajesh1,ATRA
B,Fbhavya1_28,stimulus_9_B,raw_data/wav/Fbhavya1.wav,130.05553,130.46,ATRA,Fbhavya1,C,I,ʈ,TGT,I,C,raw_data/wav/Mnirbhay2.wav,Mnirbhay2_28,190.00786,189.61112,ʈ,Mnirbhay2,ATRA
B,Mnirbhay1_41,stimulus_10_B,raw_data/wav/Mnirbhay1.wav,336.53384,337.01041,ATA,Mnirbhay1,C,I,t,TGT,I,C,raw_data/wav/Fbhavya1.wav,Fbhavya1_41,163.19,162.79481,t,Fbhavya1,ATA
B,Mrajesh2_48,stimulus_11_B,raw_data/wav/Mrajesh2.wav,183.18347,183.68,ADA,Mrajesh2,C,I,d,TGT,I,C,raw_data/wav/Fsakshi2.wav,Fsakshi2_28,82.35,81.94627,ʈ,Fsakshi2,ATRA
A,Mnirbhay2_30,stimulus_12_A,raw_data/wav/Mnirbhay2.wav,193.69,194.09835,ATRA,Mnirbhay2,C,I,ʈ,TGT,I,C,raw_data/wav/Fbhavya1.wav,Fbhavya1_30,134.00547,133.67631,ʈ,Fbhavya1,ATRA
B,Mrajesh2_30,stimulus_13_B,raw_data/wav/Mrajesh2.wav,115.37,115.82,ATRA,Mrajesh2,C,I,ʈ,TGT,I,C,raw_data/wav/Fbhavya2.wav,Fbhavya2_30,107.36,106.86548,ʈ,Fbhavya2,ATRA
B,FNiralee1_46,stimulus_14_B,raw_data/wav/FNiralee1.wav,200.84126,201.22,ADA,FNiralee1,C,I,d,TGT,I,C,raw_data/wav/Mnirbhay1.wav,Mnirbhay1_46,373.15218,372.64645,d,Mnirbhay1,ADA
B,Mnirbhay1_61,stimulus_15_B,raw_data/wav/Mnirbhay1.wav,475.01444,475.43082,ABA,Mnirbhay1,C,I,b,TGT,I,C,raw_data/wav/Fsakshi1.wav,Fsakshi1_65,194.56529,194.15,bʱ,Fsakshi1,ABHA
A,FNiralee2_64,stimulus_16_A,raw_data/wav/FNiralee2.wav,252.56,253.04,ABHA,FNiralee2,C,I,bʱ,TGT,I,C,raw_data/wav/Mrajesh2.wav,Mrajesh2_64,253.04,252.56,bʱ,Mrajesh2,ABHA
