AB_Order,speaker_1,file_1,onset_1,offset_1,item_1,word_1,interval_1,sex_1,phone_1,language_1,triplet_id,target_other,file_2,interval_2,item_2,language_2,offset_2,onset_2,phone_2,sex_2,speaker_2,word_2,distance
TgtOth,Mnirbhay,stimuli_raw/wav/Mnirbhay2.wav,23.67,24.19,Mnirbhay2_6,AKHA,6,M,kʰ,ENG,t_0288921,TGT,stimuli_raw/wav/Fsakshi2.wav,5,Fsakshi2_5,ENG,41.4,40.94,kʰ,False,Fsakshi,AKHA,0.32447321523730915
OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,35.21,35.69,Mrajesh1_4,AKHA,4,M,kʰ,ENG,t_0580729,TGT,stimuli_raw/wav/Fbhavya2.wav,5,Fbhavya2_5,ENG,23.06,22.68,kʰ,False,Fbhavya,AKHA,0.3174037102140878
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,35.21,35.69,Mrajesh1_4,AKHA,4,M,kʰ,ENG,t_0581617,TGT,stimuli_raw/wav/Fbhavya2.wav,5,Fbhavya2_5,ENG,23.06,22.68,kʰ,False,Fbhavya,AKHA,0.3174037102140878
OthTgt,Mnirbhay,stimuli_raw/wav/Mnirbhay2.wav,20.64,21.19,Mnirbhay2_5,AKHA,5,M,kʰ,ENG,t_0290684,TGT,stimuli_raw/wav/Fsakshi2.wav,6,Fsakshi2_6,ENG,43.74,43.29,kʰ,False,Fsakshi,AKHA,0.3564371291409766
TgtOth,Mnirbhay,stimuli_raw/wav/Mnirbhay1.wav,27.76,28.24,Mnirbhay1_5,AKHA,5,M,kʰ,ENG,t_1334558,TGT,stimuli_raw/wav/Fsakshi1.wav,5,Fsakshi1_5,ENG,37.26,36.75,kʰ,False,Fsakshi,AKHA,0.37513405840401687
OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,35.21,35.69,Mrajesh1_4,AKHA,4,M,kʰ,ENG,t_0579109,TGT,stimuli_raw/wav/Fbhavya2.wav,4,Fbhavya2_4,ENG,20.782120000000003,20.36,kʰ,False,Fbhavya,AKHA,0.3172016638934844
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,20.9532,21.35,Mrajesh2_5,AKHA,5,M,kʰ,ENG,t_0581708,TGT,stimuli_raw/wav/Fbhavya2.wav,5,Fbhavya2_5,ENG,23.06,22.68,kʰ,False,Fbhavya,AKHA,0.36214754075517525
OthTgt,Mnirbhay,stimuli_raw/wav/Mnirbhay1.wav,29.65,30.12,Mnirbhay1_6,AKHA,6,M,kʰ,ENG,t_0289023,TGT,stimuli_raw/wav/Fsakshi2.wav,5,Fsakshi2_5,ENG,41.4,40.94,kʰ,False,Fsakshi,AKHA,0.32855278920440767
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,38.74864,39.21422000000001,Mrajesh1_6,AKHA,6,M,kʰ,ENG,t_0580047,TGT,stimuli_raw/wav/Fbhavya2.wav,4,Fbhavya2_4,ENG,20.782120000000003,20.36,kʰ,False,Fbhavya,AKHA,0.3304588540581732
OthTgt,Mnirbhay,stimuli_raw/wav/Mnirbhay1.wav,25.88,26.387620000000002,Mnirbhay1_4,AKHA,4,M,kʰ,ENG,t_1336369,TGT,stimuli_raw/wav/Fsakshi1.wav,6,Fsakshi1_6,ENG,39.94,39.43,kʰ,False,Fsakshi,AKHA,0.3835240540948956
TgtOth,Mnirbhay,stimuli_raw/wav/Mnirbhay1.wav,25.88,26.387620000000002,Mnirbhay1_4,AKHA,4,M,kʰ,ENG,t_0286537,TGT,stimuli_raw/wav/Fsakshi2.wav,4,Fsakshi2_4,ENG,39.07,38.65,kʰ,False,Fsakshi,AKHA,0.3648082512081619
OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,38.74864,39.21422000000001,Mrajesh1_6,AKHA,6,M,kʰ,ENG,t_1166181,TGT,stimuli_raw/wav/Fbhavya1.wav,5,Fbhavya1_5,ENG,41.29,40.87,kʰ,False,Fbhavya,AKHA,0.33015101707793554
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,35.21,35.69,Mrajesh1_4,AKHA,4,M,kʰ,ENG,t_1167883,TGT,stimuli_raw/wav/Fbhavya1.wav,6,Fbhavya1_6,ENG,43.35,42.9,kʰ,False,Fbhavya,AKHA,0.3378337333828553
OthTgt,Mnirbhay,stimuli_raw/wav/Mnirbhay1.wav,25.88,26.387620000000002,Mnirbhay1_4,AKHA,4,M,kʰ,ENG,t_0286573,TGT,stimuli_raw/wav/Fsakshi2.wav,4,Fsakshi2_4,ENG,39.07,38.65,kʰ,False,Fsakshi,AKHA,0.3648082512081619
