m_pos_vars_CORRECT,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars_CORRECT,m_stanfile_CORRECT,seed.x,m_pos_vars_INCORRECT,m_neg_vars_INCORRECT,m_stanfile_INCORRECT,seed.y,elpd_diff,se_diff
,-1,-1,-1,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,3544.353739417158,Econ+Glob+Loc,,stan_models/master_model.stan,9106.332984624198,-22.03090148391102,6.399498873738633
,-1,-1,-1,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,3544.353739417158,Econ+Glob,Loc,stan_models/master_model.stan,988.6090410922188,-19.823233677588227,5.983728319000524
,-1,-1,-1,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,3544.353739417158,Econ+Loc,Glob,stan_models/master_model.stan,6342.04909789213,-20.00695153089744,6.077127510093303
,-1,-1,-1,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,3544.353739417158,Glob+Loc,Econ,stan_models/master_model.stan,1561.755859460216,-15.341479944341636,5.176327265481769
,-1,-1,-1,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,3544.353739417158,Econ,Glob+Loc,stan_models/master_model.stan,6203.573196187615,-17.529525463576842,5.582930472509802
,-1,-1,-1,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,3544.353739417158,Glob,Econ+Loc,stan_models/master_model.stan,7115.962018436287,-13.894939990631736,4.882349258772009
,-1,-1,-1,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,3544.353739417158,Loc,Econ+Glob,stan_models/master_model.stan,5434.229872062802,-1.0915517555533043,1.5542046878812734
,-1,-1,0,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,9062.869445132557,Econ+Glob+Loc,,stan_models/master_model.stan,8733.42172141024,-6.4126252120507115,3.1513570747948707
,-1,-1,0,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,9062.869445132557,Econ+Glob,Loc,stan_models/master_model.stan,7558.005005995976,-3.003886838750951,2.324527689466895
,-1,-1,0,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,9062.869445132557,Econ+Loc,Glob,stan_models/master_model.stan,8647.9715932752,-4.929712294949862,2.800183112755137
,-1,-1,0,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,9062.869445132557,Glob+Loc,Econ,stan_models/master_model.stan,7194.496182543691,-5.550659303388512,2.927174260660804
,-1,-1,0,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,9062.869445132557,Econ,Glob+Loc,stan_models/master_model.stan,3447.0324636441655,-1.3930320145214843,1.7218357396705715
,-1,-1,0,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,9062.869445132557,Glob,Econ+Loc,stan_models/master_model.stan,9661.851201282814,-2.5291756972152637,2.1805209510763905
,-1,-1,0,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,9062.869445132557,Loc,Econ+Glob,stan_models/master_model.stan,9765.709963829257,-2.989731926182497,1.9551368204019413
Glob,-1,-1,1,dinst1,hk,Econ+Loc,stan_models/master_model.stan,6401.10739441379,Econ+Glob+Loc,,stan_models/master_model.stan,2124.288426865125,-8.814255882629958,5.02571761583833
Glob,-1,-1,1,dinst1,hk,Econ+Loc,stan_models/master_model.stan,6401.10739441379,Econ+Glob,Loc,stan_models/master_model.stan,5514.525063215988,-11.033568136781895,4.902531121824779
Glob,-1,-1,1,dinst1,hk,Econ+Loc,stan_models/master_model.stan,6401.10739441379,Econ+Loc,Glob,stan_models/master_model.stan,2506.861114060972,-11.934202318006792,5.4512236377026495
