m_pos_vars_CORRECT,d_coef_econ,econ_sign,d_coef_loc,loc_sign,d_coef_glob,glon_sign,d_id,d_experiment,m_neg_vars_CORRECT,m_stanfile_CORRECT,seed.x,m_pos_vars_INCORRECT,m_neg_vars_INCORRECT,INCOR_MOD_econ,INCOR_MOD_glob,INCOR_MOD_loc,econ_match,loc_match,glob_match,NUM_MATCHES,m_stanfile_INCORRECT,seed.y,elpd_diff,se_diff,num_zeroes
NA,-1,neg,-1,neg,-1,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,3544.353739,Econ+Glob+Loc,NA,pos,pos,pos,NO,NO,NO,0,stan_models/master_model.stan,9106.332985,-22.03090148,6.399498874,zero
NA,-1,neg,-1,neg,-1,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,3544.353739,Econ+Glob,Loc,pos,pos,neg,NO,MATCH,NO,1,stan_models/master_model.stan,988.6090411,-19.82323368,5.983728319,zero
NA,-1,neg,-1,neg,-1,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,3544.353739,Econ+Loc,Glob,pos,neg,pos,NO,NO,MATCH,1,stan_models/master_model.stan,6342.049098,-20.00695153,6.07712751,zero
NA,-1,neg,-1,neg,-1,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,3544.353739,Glob+Loc,Econ,neg,pos,pos,MATCH,NO,NO,1,stan_models/master_model.stan,1561.755859,-15.34147994,5.176327265,zero
NA,-1,neg,-1,neg,-1,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,3544.353739,Econ,Glob+Loc,pos,neg,neg,NO,MATCH,MATCH,2,stan_models/master_model.stan,6203.573196,-17.52952546,5.582930473,zero
NA,-1,neg,-1,neg,-1,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,3544.353739,Glob,Econ+Loc,neg,pos,neg,MATCH,MATCH,NO,2,stan_models/master_model.stan,7115.962018,-13.89493999,4.882349259,zero
NA,-1,neg,-1,neg,-1,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,3544.353739,Loc,Econ+Glob,neg,neg,pos,MATCH,NO,MATCH,2,stan_models/master_model.stan,5434.229872,-1.091551756,1.554204688,zero
NA,-1,neg,-1,neg,0,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,9062.869445,Econ+Glob+Loc,NA,pos,pos,pos,NO,NO,NO,0,stan_models/master_model.stan,8733.421721,-6.412625212,3.151357075,one
NA,-1,neg,-1,neg,0,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,9062.869445,Econ+Glob,Loc,pos,pos,neg,NO,MATCH,NO,1,stan_models/master_model.stan,7558.005006,-3.003886839,2.324527689,one
NA,-1,neg,-1,neg,0,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,9062.869445,Econ+Loc,Glob,pos,neg,pos,NO,NO,MATCH,1,stan_models/master_model.stan,8647.971593,-4.929712295,2.800183113,one
