_d_experiment,_d_id,_d_coef_econ,_d_coef_loc,_d_coef_glob,_m_pos_vars,_m_neg_vars,_m_stanfile,seed,is_correct_model
hk,dinst1,-1,-1,-1,Econ+Glob+Loc,,stan_models/master_pos.stan,4067.8374001863413,FALSE
hk,dinst1,-1,-1,-1,Econ+Glob,Loc,stan_models/master_model.stan,3943.4863214774523,FALSE
hk,dinst1,-1,-1,-1,Econ+Loc,Glob,stan_models/master_model.stan,7507.723046432715,FALSE
hk,dinst1,-1,-1,-1,Glob+Loc,Econ,stan_models/master_model.stan,3022.699797833571,FALSE
hk,dinst1,-1,-1,-1,Econ,Glob+Loc,stan_models/master_model.stan,9584.925500901649,FALSE
hk,dinst1,-1,-1,-1,Glob,Econ+Loc,stan_models/master_model.stan,7351.053621989908,FALSE
hk,dinst1,-1,-1,-1,Loc,Econ+Glob,stan_models/master_model.stan,5486.339928144356,FALSE
hk,dinst1,-1,-1,-1,,Econ+Glob+Loc,stan_models/master_neg.stan,2837.8798660859466,TRUE
hk,dinst1,0,-1,-1,Econ+Glob+Loc,,stan_models/master_pos.stan,1325.88657223084,FALSE
hk,dinst1,0,-1,-1,Econ+Glob,Loc,stan_models/master_model.stan,8001.23085516179,FALSE
hk,dinst1,0,-1,-1,Econ+Loc,Glob,stan_models/master_model.stan,6200.996831203578,FALSE
hk,dinst1,0,-1,-1,Glob+Loc,Econ,stan_models/master_model.stan,6663.590983970324,FALSE
hk,dinst1,0,-1,-1,Econ,Glob+Loc,stan_models/master_model.stan,1013.0012460520957,FALSE
hk,dinst1,0,-1,-1,Glob,Econ+Loc,stan_models/master_model.stan,7828.522521478357,FALSE
hk,dinst1,0,-1,-1,Loc,Econ+Glob,stan_models/master_model.stan,1297.2770921988413,FALSE
hk,dinst1,0,-1,-1,,Econ+Glob+Loc,stan_models/master_neg.stan,8842.486631573644,TRUE
hk,dinst1,1,-1,-1,Econ+Glob+Loc,,stan_models/master_pos.stan,3982.769497503992,FALSE
hk,dinst1,1,-1,-1,Econ+Glob,Loc,stan_models/master_model.stan,1307.2646909332834,FALSE
hk,dinst1,1,-1,-1,Econ+Loc,Glob,stan_models/master_model.stan,2329.8910903171636,FALSE
hk,dinst1,1,-1,-1,Glob+Loc,Econ,stan_models/master_model.stan,8546.302942692768,FALSE
hk,dinst1,1,-1,-1,Econ,Glob+Loc,stan_models/master_model.stan,8739.222109815106,TRUE
hk,dinst1,1,-1,-1,Glob,Econ+Loc,stan_models/master_model.stan,4162.047768978868,FALSE
hk,dinst1,1,-1,-1,Loc,Econ+Glob,stan_models/master_model.stan,7604.132434398867,FALSE
hk,dinst1,1,-1,-1,,Econ+Glob+Loc,stan_models/master_neg.stan,1071.1641840895172,FALSE
hk,dinst1,-1,0,-1,Econ+Glob+Loc,,stan_models/master_pos.stan,2405.8259555874392,FALSE
hk,dinst1,-1,0,-1,Econ+Glob,Loc,stan_models/master_model.stan,3790.5707527589984,FALSE
hk,dinst1,-1,0,-1,Econ+Loc,Glob,stan_models/master_model.stan,9913.32643426396,FALSE
hk,dinst1,-1,0,-1,Glob+Loc,Econ,stan_models/master_model.stan,381.98211238719523,FALSE
