m_pos_vars,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars,is_correct_model,m_stanfile,csv_filename,seed,Econ_coef_glm,Glob_coef_glm,Loc_coef_glm,ac_dist_coef_glm,acoustic_distance,Econ_glm_diff,Glob_glm_diff,Loc_glm_diff,ac_dist_diff,intercept_brms_coef,Econ_brms_coef,Glob_brms_coef,Loc_brms_coef,ac_dist_brms_coef
NA,-1,-1,-1,dinst2,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst2/econ_-1_loc_-1_glob_-1.csv,2025.725014403928,-0.6199640621383168,-1.1944095192657282,-3.0797224973368773,-0.12118340727788351,-0.1784,0.3800359378616832,-0.19440951926572825,-2.0797224973368773,0.05721659272211649,1.3024469039810018,-1.213326945921833,-0.6298266917275797,-0.6545799752615055,-0.1685945690811271
NA,0,-1,-1,dinst2,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst2/econ_0_loc_-1_glob_-1.csv,1382.8625093472656,-1.422339888312748,-1.1229565451108363,-0.5618323020780445,-0.15819449335722066,-0.1784,-1.422339888312748,-0.12295654511083631,0.43816769792195553,0.02020550664277934,1.504565901046716,-1.2500021349811283,-1.2064772243916244,-1.6263386091263952,-0.26125880976890814
Econ,1,-1,-1,dinst2,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst2/econ_1_loc_-1_glob_-1.csv,5418.483673844719,-0.7246145493685366,-0.7978625324397799,-2.0978808751207163,-0.12455384541851536,-0.1784,-1.7246145493685368,0.2021374675602201,-1.0978808751207163,0.053846154581484645,1.381932560532773,-1.299658686226023,-1.2459762180344238,-0.4706871175763898,-0.10237359951575031
NA,-1,0,-1,dinst2,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst2/econ_-1_loc_0_glob_-1.csv,2015.6588455133606,-0.7026542083904935,-1.3217252501285142,-3.696913329448751,-0.29256600693725415,-0.1784,0.29734579160950647,-0.32172525012851416,-3.696913329448751,-0.11416600693725415,1.3323546479760218,-1.112487683000751,-0.8160177362221183,-0.7879055660257682,-0.23863527845283125
NA,0,0,-1,dinst2,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst2/econ_0_loc_0_glob_-1.csv,7073.447697411757,-0.8343409355727259,-1.0458128383228544,-2.9919772428266342,-0.2543002304506605,-0.1784,-0.8343409355727259,-0.04581283832285443,-2.9919772428266342,-0.07590023045066052,1.4143221153886323,-1.040861343785509,-1.2252275423171828,-1.4128929473902372,-0.14958076183487895
Econ,1,0,-1,dinst2,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst2/econ_1_loc_0_glob_-1.csv,5831.080637011677,-0.3736289370298675,-0.8023051595377565,-2.0073030351253958,0.005848904807485779,-0.1784,-1.3736289370298675,0.1976948404622435,-2.0073030351253958,0.1842489048074858,1.6160231461610537,-1.2064349976475683,-1.3335181284854407,-2.600380628494624,-0.19340132221300435
Loc,-1,1,-1,dinst2,hindi,Econ+Glob,TRUE,stan_models/master_model.stan,hindi/dinst2/econ_-1_loc_1_glob_-1.csv,3686.521658554906,-1.0256506239910663,-0.9210626592855256,-2.20058671588217,-0.22037701563194542,-0.1784,-0.025650623991066324,0.07893734071447445,-3.20058671588217,-0.04197701563194542,1.4011287454096386,-0.6209434663013865,-0.7640321290750037,-1.9263056181299494,-0.07812554932380582
Loc,0,1,-1,dinst2,hindi,Econ+Glob,TRUE,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_1_glob_-1.csv,7402.449643928092,-1.3136595923029533,-1.150385892374727,-0.904363430984161,-0.13441382858986992,-0.1784,-1.3136595923029533,-0.150385892374727,-1.904363430984161,0.04398617141013009,1.4538550488274111,-1.2140799884506586,-1.3414036428350489,-1.44636257608948,-0.2556102787592818
Econ+Loc,1,1,-1,dinst2,hindi,Glob,TRUE,stan_models/master_model.stan,hindi/dinst2/econ_1_loc_1_glob_-1.csv,4428.041846757289,-0.6909874881774004,-2.1027486676578118,-0.44191695517133955,-0.24624809906531453,-0.1784,-1.6909874881774005,-1.1027486676578118,-1.4419169551713396,-0.06784809906531453,1.2056422170573151,-0.38724452155915134,-0.5728254885011567,-0.3575740709176726,-0.2685426403184612
NA,-1,-1,0,dinst2,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst2/econ_-1_loc_-1_glob_0.csv,8660.43414145126,0.8812613476864755,-0.2719755402090669,-3.645584854995818,0.13426917976049169,-0.1784,1.8812613476864755,-0.2719755402090669,-2.645584854995818,0.3126691797604917,1.3976061645496864,-0.36150855491064887,-1.4160734399134225,-0.788629035058963,-0.27772553589368865
NA,0,-1,0,dinst2,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst2/econ_0_loc_-1_glob_0.csv,2791.288778543705,-0.39228970524993506,-0.9339773772393687,1.0003827251981607,-0.07991709076498613,-0.1784,-0.39228970524993506,-0.9339773772393687,2.0003827251981607,0.09848290923501388,1.177952355247582,0.2113764789216726,0.2524266372142526,-0.6110281733668266,-0.125490156531444
Econ,1,-1,0,dinst2,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst2/econ_1_loc_-1_glob_0.csv,3411.0823556780815,0.04305760054810356,-1.45182310240504,-3.137510920167157,-0.09822054280833732,-0.1784,-0.9569423994518964,-1.45182310240504,-2.137510920167157,0.08017945719166268,1.3961979899730712,-0.4426233161895005,-1.5388720924445314,-0.2668254410063553,-0.20577993153921612
NA,-1,0,0,dinst2,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst2/econ_-1_loc_0_glob_0.csv,4019.37379880948,0.048740819413735745,-1.339923497050342,-2.1856359792966207,-0.1432935761678176,-0.1784,1.0487408194137358,-1.339923497050342,-2.1856359792966207,0.035106423832182404,1.305846014990003,-0.5343641536784883,-1.440274540472785,0.20929954241148527,-0.19127708027325177
NA,0,0,0,dinst2,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst2/econ_0_loc_0_glob_0.csv,6197.784287513699,-1.2136003395702544,-1.1191577586826806,1.7044730155980874,-0.12328312545085407,-0.1784,-1.2136003395702544,-1.1191577586826806,1.7044730155980874,0.05511687454914593,1.3294814980525447,0.09032832140087574,-0.806518339557269,-1.1927579939723345,-0.1807717383521981
Econ,1,0,0,dinst2,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst2/econ_1_loc_0_glob_0.csv,9668.41800315911,-0.16033637882478424,-1.4241426362641854,-1.2202610823421043,-0.10504638833626626,-0.1784,-1.1603363788247842,-1.4241426362641854,-1.2202610823421043,0.07335361166373375,1.2051178632282256,-0.10967632145604729,-1.0278007160761788,0.26982921278019606,-0.17592599173980286
Loc,-1,1,0,dinst2,hindi,Econ+Glob,TRUE,stan_models/master_model.stan,hindi/dinst2/econ_-1_loc_1_glob_0.csv,9447.398452156689,0.4419632408237902,-0.8001761529218524,-2.9545613453201836,-0.18868131226371965,-0.1784,1.4419632408237901,-0.8001761529218524,-3.9545613453201836,-0.010281312263719644,1.5367351899140387,0.23584476995358625,-1.4313653187515836,-2.1283715685238107,-0.20052150681878123
Loc,0,1,0,dinst2,hindi,Econ+Glob,TRUE,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_1_glob_0.csv,5457.805102448678,1.6297429287313367,-1.8641431991818609,-3.936299999513936,-0.24780741084382357,-0.1784,1.6297429287313367,-1.8641431991818609,-4.9362999995139365,-0.06940741084382357,1.4943841969422005,1.347159207625962,-1.351335187730984,-1.9334364600057887,-0.19546373433158692
Econ+Loc,1,1,0,dinst2,hindi,Glob,TRUE,stan_models/master_model.stan,hindi/dinst2/econ_1_loc_1_glob_0.csv,479.1610357714817,1.3185737535699629,-0.9102182526602193,-3.364355206597835,-0.16240913358040102,-0.1784,0.31857375356996287,-0.9102182526602193,-4.3643552065978355,0.015990866419598987,1.3583498270314494,1.1241828876243447,-0.9694856086714436,-1.2582447143872788,-0.22410952992074082
Glob,-1,-1,1,dinst2,hindi,Econ+Loc,TRUE,stan_models/master_model.stan,hindi/dinst2/econ_-1_loc_-1_glob_1.csv,1234.0746826461982,1.0667901539116582,-0.3407536969429914,2.153006937775851,-0.053787547771260436,-0.1784,2.066790153911658,-1.3407536969429914,3.153006937775851,0.12461245222873957,1.4476808856588557,1.2562378844057607,-1.403480850066333,-0.9646782614093441,-0.01289825438631898
Glob,0,-1,1,dinst2,hindi,Econ+Loc,TRUE,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_-1_glob_1.csv,971.1635144350585,0.5701013270581183,-0.6788046240327094,-0.47629165089808906,-0.18678242840742693,-0.1784,0.5701013270581183,-1.6788046240327095,0.523708349101911,-0.008382428407426923,1.5027577819883364,1.7921981278785353,-1.5213017503000803,-2.353066161151375,-0.10107681637234425
Econ+Glob,1,-1,1,dinst2,hindi,Loc,TRUE,stan_models/master_model.stan,hindi/dinst2/econ_1_loc_-1_glob_1.csv,9168.541339340154,0.6790987330454115,-0.38910266311939307,3.375752996077299,-0.17320230138105652,-0.1784,-0.32090126695458854,-1.389102663119393,4.375752996077299,0.00519769861894348,1.5230671666207596,0.992079723574458,-1.2763379637606058,-1.2751700296203563,-0.0668589845209796
Glob,-1,0,1,dinst2,hindi,Econ+Loc,TRUE,stan_models/master_model.stan,hindi/dinst2/econ_-1_loc_0_glob_1.csv,2552.902699405793,0.8998036386086271,-0.5681421629654154,-0.2336886119655166,-0.22280503708154306,-0.1784,1.8998036386086272,-1.5681421629654153,-0.2336886119655166,-0.04440503708154306,1.2941625107306705,0.8947137959351591,-1.3098202814155033,-0.6803821789872359,-0.22704792620483272
Glob,0,0,1,dinst2,hindi,Econ+Loc,TRUE,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_0_glob_1.csv,2020.3285910030827,-0.48470731718155985,-2.478200701518144,0.6099042429000259,-0.17664870762054596,-0.1784,-0.48470731718155985,-3.478200701518144,0.6099042429000259,0.0017512923794540391,1.1995084118982133,0.8903827612866851,-0.8975329778057003,-0.5552144059889558,-0.30795330622045086
Econ+Glob,1,0,1,dinst2,hindi,Loc,TRUE,stan_models/master_model.stan,hindi/dinst2/econ_1_loc_0_glob_1.csv,9635.64808331593,0.6761508157477281,-1.8737014794637719,-2.151998872679602,-0.015676364846011093,-0.1784,-0.32384918425227194,-2.873701479463772,-2.151998872679602,0.1627236351539889,1.558760291644461,1.4949890827420012,-1.8019001066027964,-1.9494781738272349,-0.17434887805154534
Glob+Loc,-1,1,1,dinst2,hindi,Econ,TRUE,stan_models/master_model.stan,hindi/dinst2/econ_-1_loc_1_glob_1.csv,7449.834464885527,-0.7738354771505449,-0.67087096994494555,0.0502326825304376,-0.12984002450824916,-0.1784,0.2261645228494551,-1.6708709699449455,-0.9497673174695624,0.04855997549175084,1.589084333788834,-0.8211631197041934,-1.1835331808752227,-1.221882105459875,-0.12747869505728998
