m_pos_vars,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars,is_correct_model,m_stanfile,csv_filename,seed,Econ_coef_glm,Glob_coef_glm,Loc_coef_glm,ac_dist_coef_glm,acoustic_distance,Econ_glm_diff,Glob_glm_diff,Loc_glm_diff,ac_dist_diff,intercept_brms_coef,Econ_brms_coef,Glob_brms_coef,Loc_brms_coef,ac_dist_brms_coef,intercept_brms_rhat,Econ_brms_rhat,Glob_brms_rhat,Loc_brms_rhat,ac_dist_brms_rhat,loo
NA,-1,-1,-1,dinst4,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst4/econ_-1_loc_-1_glob_-1.csv,3938.4590746767353,-1.0209749643385813,-0.8546427688183219,-0.9943287503536279,-0.1749636471010946,-0.1784,-0.02097496433858126,0.1453572311816781,0.005671249646372112,0.003436352898905398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,-1,-1,dinst4,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst4/econ_0_loc_-1_glob_-1.csv,3464.93399473466,-0.6048921801767927,-0.8781407692168717,-2.654015001711311,-0.18057636715382838,-0.1784,-0.6048921801767927,0.12185923078312833,-1.6540150017113109,-0.002176367153828379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Econ,1,-1,-1,dinst4,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_1_loc_-1_glob_-1.csv,7403.1282471192535,-1.269079683152143,-1.4000619129590723,-0.952692257437187,-0.19219656789463085,-0.1784,-2.269079683152143,-0.40006191295907234,0.047307742562813004,-0.013796567894630851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,-1,0,-1,dinst4,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst4/econ_-1_loc_0_glob_-1.csv,983.7516808067448,-0.6386945410758686,-0.5539165593821795,-1.8768199928891622,-0.15040346970283397,-0.1784,0.36130545892413135,0.44608344061782046,-1.8768199928891622,0.027996530297166033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,-1,dinst4,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst4/econ_0_loc_0_glob_-1.csv,6848.2798381897155,-0.8671853935927558,-0.8432578536728053,-0.3057534593947818,-0.1789178358509849,-0.1784,-0.8671853935927558,0.15674214632719474,-0.3057534593947818,-5.178358509848879e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Econ,1,0,-1,dinst4,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_1_loc_0_glob_-1.csv,7883.2105233059265,-1.1038828182595866,-1.5764770452737586,-1.1161432089461558,-0.23361157711923433,-0.1784,-2.103882818259587,-0.5764770452737586,-1.1161432089461558,-0.05521157711923433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loc,-1,1,-1,dinst4,hindi,Econ+Glob,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_-1_loc_1_glob_-1.csv,6533.372805907391,-0.5431512848065284,-0.8414335080966746,-2.7501457431475576,-0.3162094577747206,-0.1784,0.4568487151934716,0.1585664919033254,-3.7501457431475576,-0.1378094577747206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loc,0,1,-1,dinst4,hindi,Econ+Glob,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_0_loc_1_glob_-1.csv,7353.1617880910635,-1.245899192499436,-1.1568942300889073,-0.3322873045745852,-0.2055386430958593,-0.1784,-1.245899192499436,-0.15689423008890735,-1.332287304574585,-0.02713864309585931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Econ+Loc,1,1,-1,dinst4,hindi,Glob,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_1_loc_1_glob_-1.csv,9949.823753603036,0.2693562570487286,-0.2535502346227373,0.2258536304689196,-0.15399949770457588,-0.1784,-0.7306437429512713,0.7464497653772627,-0.7741463695310804,0.02440050229542412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,-1,-1,0,dinst4,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst4/econ_-1_loc_-1_glob_0.csv,2861.9550409663934,0.0828844749104024,-0.7152322144657758,-0.526325270636571,-0.126128092324157,-0.1784,1.0828844749104025,-0.7152322144657758,0.473674729363429,0.052271907675843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
