m_pos_vars,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars,is_correct_model,m_stanfile,csv_filename,seed,Econ_coef_glm,Glob_coef_glm,Loc_coef_glm,Econ_glm_diff,Glob_glm_diff,Loc_glm_diff
NA,-1,-1,-1,dinst4,fake_grid,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,fake_grid/dinst4/econ_-1_loc_-1_glob_-1.csv,7081.894693437498,-0.608605562679148,-18.06577103377576,-1.0249465241254803,0.391394437320852,-17.06577103377576,-0.024946524125480263
NA,0,-1,-1,dinst4,fake_grid,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,fake_grid/dinst4/econ_0_loc_-1_glob_-1.csv,8711.90161196841,0.1136290285681081,-0.9829034689329521,-1.2439590175267172,0.1136290285681081,0.017096531067047893,-0.24395901752671723
Econ,1,-1,-1,dinst4,fake_grid,Glob+Loc,TRUE,stan_models/master_model.stan,fake_grid/dinst4/econ_1_loc_-1_glob_-1.csv,5901.644794782158,1.0183311451161277,-1.0434056959211655,-0.9326437222245426,0.018331145116127656,-0.0434056959211655,0.06735627777545738
NA,-1,0,-1,dinst4,fake_grid,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,fake_grid/dinst4/econ_-1_loc_0_glob_-1.csv,5236.643741498701,-0.9212662953864521,-1.0388805950091566,-0.01206358644297318,0.0787337046135479,-0.03888059500915664,-0.01206358644297318
NA,0,0,-1,dinst4,fake_grid,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,fake_grid/dinst4/econ_0_loc_0_glob_-1.csv,3230.247755357297,0.08573678025143555,-1.0155311871425754,0.017155425171181096,0.08573678025143555,-0.015531187142575398,0.017155425171181096
Econ,1,0,-1,dinst4,fake_grid,Glob+Loc,TRUE,stan_models/master_model.stan,fake_grid/dinst4/econ_1_loc_0_glob_-1.csv,2596.1704921405762,0.9486864392904645,-0.9618984363009413,-0.04578899809404498,-0.05131356070953552,0.038101563699058705,-0.04578899809404498
Loc,-1,1,-1,dinst4,fake_grid,Econ+Glob,TRUE,stan_models/master_model.stan,fake_grid/dinst4/econ_-1_loc_1_glob_-1.csv,8424.60307886242,-1.0004207062849169,-0.8941265718362299,1.037309368772346,-4.207062849168608e-4,0.1058734281637701,0.03730936877234603
Loc,0,1,-1,dinst4,fake_grid,Econ+Glob,TRUE,stan_models/master_model.stan,fake_grid/dinst4/econ_0_loc_1_glob_-1.csv,4746.775324098999,-0.0628513651882761,-0.9516877308650044,1.094914736656279,-0.0628513651882761,0.048312269134995645,0.09491473665627903
Econ+Loc,1,1,-1,dinst4,fake_grid,Glob,TRUE,stan_models/master_model.stan,fake_grid/dinst4/econ_1_loc_1_glob_-1.csv,8513.71081783087,1.104548161116741,-1.2416289924899204,1.0670559572990546,0.10454816111674092,-0.24162899248992042,0.06705595729905456
NA,-1,-1,0,dinst4,fake_grid,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,fake_grid/dinst4/econ_-1_loc_-1_glob_0.csv,7949.873111409834,-0.9168455197168174,-0.2931880229127184,-0.7939173352992768,0.08315448028318262,-0.2931880229127184,0.20608266470072323
NA,0,-1,0,dinst4,fake_grid,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,fake_grid/dinst4/econ_0_loc_-1_glob_0.csv,351.62366705876775,0.005737170972839522,0.04589106649620678,-0.9930709711636565,0.005737170972839522,0.04589106649620678,0.006929028836343498
Econ,1,-1,0,dinst4,fake_grid,Glob+Loc,TRUE,stan_models/master_model.stan,fake_grid/dinst4/econ_1_loc_-1_glob_0.csv,6130.7274657534435,1.0661248658787787,0.11043540202365935,-0.9693453580890098,0.06612486587877875,0.11043540202365935,0.03065464191099021
NA,-1,0,0,dinst4,fake_grid,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,fake_grid/dinst4/econ_-1_loc_0_glob_0.csv,4560.861004526494,-1.0572277873606244,-0.06681167753242301,-0.09411746522111135,-0.057227787360624394,-0.06681167753242301,-0.09411746522111135
NA,0,0,0,dinst4,fake_grid,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,fake_grid/dinst4/econ_0_loc_0_glob_0.csv,3578.410073580453,0.022380658501673378,-0.03730159146888808,0.009946900837620294,0.022380658501673378,-0.03730159146888808,0.009946900837620294
Econ,1,0,0,dinst4,fake_grid,Glob+Loc,TRUE,stan_models/master_model.stan,fake_grid/dinst4/econ_1_loc_0_glob_0.csv,4066.250906490721,0.8980065640566008,-0.14999268740652252,0.0662994149162374,-0.10199343594339916,-0.14999268740652252,0.0662994149162374
Loc,-1,1,0,dinst4,fake_grid,Econ+Glob,TRUE,stan_models/master_model.stan,fake_grid/dinst4/econ_-1_loc_1_glob_0.csv,477.58362854714505,-1.001360435813598,-0.036968590551125724,1.016850299352027,-0.0013604358135979044,-0.036968590551125724,0.016850299352026976
Loc,0,1,0,dinst4,fake_grid,Econ+Glob,TRUE,stan_models/master_model.stan,fake_grid/dinst4/econ_0_loc_1_glob_0.csv,615.7680321554653,0.17742941896359934,-0.2508877009872626,0.7511733603684835,0.17742941896359934,-0.2508877009872626,-0.24882663963151652
Econ+Loc,1,1,0,dinst4,fake_grid,Glob,TRUE,stan_models/master_model.stan,fake_grid/dinst4/econ_1_loc_1_glob_0.csv,4948.24622262246,0.7841914416293212,0.2625347067308254,1.620145077002535,-0.2158085583706788,0.2625347067308254,0.620145077002535
Glob,-1,-1,1,dinst4,fake_grid,Econ+Loc,TRUE,stan_models/master_model.stan,fake_grid/dinst4/econ_-1_loc_-1_glob_1.csv,1524.8885975847952,-0.9877319310291814,0.8401892849839626,-0.9906836277687572,0.012268068970818558,-0.15981071501603739,0.00931637223124282
Glob,0,-1,1,dinst4,fake_grid,Econ+Loc,TRUE,stan_models/master_model.stan,fake_grid/dinst4/econ_0_loc_-1_glob_1.csv,9305.5379551386,0.05009032041458512,0.8930260325778021,-0.9362734419511481,0.05009032041458512,-0.10697396742219789,0.06372655804885186
Econ+Glob,1,-1,1,dinst4,fake_grid,Loc,TRUE,stan_models/master_model.stan,fake_grid/dinst4/econ_1_loc_-1_glob_1.csv,5481.113568192348,1.0993811612917028,0.9938445719461648,-0.9259336845155752,0.09938116129170282,-0.006155428053835177,0.07406631548442477
Glob,-1,0,1,dinst4,fake_grid,Econ+Loc,TRUE,stan_models/master_model.stan,fake_grid/dinst4/econ_-1_loc_0_glob_1.csv,2989.1368104042485,-1.0628056449407048,1.165708027299222,-0.08875276421941937,-0.06280564494070484,0.16570802729922196,-0.08875276421941937
Glob,0,0,1,dinst4,fake_grid,Econ+Loc,TRUE,stan_models/master_model.stan,fake_grid/dinst4/econ_0_loc_0_glob_1.csv,4348.259583765175,-1.4900701302150168e-15,0.8574717732405779,-0.1090784848715027,-1.4900701302150168e-15,-0.14252822675942212,-0.1090784848715027
Econ+Glob,1,0,1,dinst4,fake_grid,Loc,TRUE,stan_models/master_model.stan,fake_grid/dinst4/econ_1_loc_0_glob_1.csv,4.6970437441486865,0.31614634346780124,1.2422716947901018,-0.10176916459267335,-0.6838536565321988,0.2422716947901018,-0.10176916459267335
Glob+Loc,-1,1,1,dinst4,fake_grid,Econ,TRUE,stan_models/master_model.stan,fake_grid/dinst4/econ_-1_loc_1_glob_1.csv,4467.919091294287,-0.73515237809135,0.6710071840046467,0.854898099146348,0.26484762190864997,-0.32899281599535335,-0.14510190085365204
Glob+Loc,0,1,1,dinst4,fake_grid,Econ,TRUE,stan_models/master_model.stan,fake_grid/dinst4/econ_0_loc_1_glob_1.csv,4883.998147169361,-0.35242791781384764,0.35242791781384936,0.5683344647726406,-0.35242791781384764,-0.6475720821861506,-0.4316655352273594
Econ+Glob+Loc,1,1,1,dinst4,fake_grid,NA,TRUE,stan_models/master_pos.stan,fake_grid/dinst4/econ_1_loc_1_glob_1.csv,2917.2714876392856,17.576513928056894,17.57651393150547,17.576513928114032,16.576513928056894,16.57651393150547,16.576513928114032
