m_pos_vars,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars,is_correct_model,m_stanfile,csv_filename,seed,Econ_coef_glm,Glob_coef_glm,Loc_coef_glm,ac_dist_coef_glm,acoustic_distance,Econ_glm_diff,Glob_glm_diff,Loc_glm_diff,ac_dist_diff
NA,-1,-1,-1,dinst6,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst6/econ_-1_loc_-1_glob_-1.csv,3625.632283252664,-0.9233016337641338,-1.0337513758322787,-1.456033681404228,-0.1640981209702892,-0.1784,0.07669836623586623,-0.03375137583227872,-0.45603368140422806,0.014301879029710807
NA,0,-1,-1,dinst6,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst6/econ_0_loc_-1_glob_-1.csv,835.3071332150139,0.23614970973439195,-0.867601594419021,-1.5455259242456252,-0.18371519435375222,-0.1784,0.23614970973439195,0.13239840558097904,-0.5455259242456252,-0.005315194353752217
Econ,1,-1,-1,dinst6,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst6/econ_1_loc_-1_glob_-1.csv,1754.3433249832597,0.8990735248260332,-0.9876770020595568,-0.5356852835873305,-0.19716518927617951,-0.1784,-0.1009264751739668,0.012322997940443225,0.4643147164126695,-0.01876518927617951
NA,-1,0,-1,dinst6,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst6/econ_-1_loc_0_glob_-1.csv,7383.475280646235,-0.9731614083201654,-0.9997746963892852,-0.3200707603748907,-0.1947752202555352,-0.1784,0.0268385916798346,2.2530361071482208e-4,-0.3200707603748907,-0.0163752202555352
NA,0,0,-1,dinst6,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst6/econ_0_loc_0_glob_-1.csv,9954.58040840854,-0.017309528801247216,-1.077313873669438,0.1343033583641326,-0.17605194813521152,-0.1784,-0.017309528801247216,-0.0773138736694381,0.1343033583641326,0.0023480518647884807
Econ,1,0,-1,dinst6,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst6/econ_1_loc_0_glob_-1.csv,6270.713595790323,1.1217214795285404,-0.8864874065133004,-0.4702216541586105,-0.1766302957942963,-0.1784,0.1217214795285404,0.11351259348669962,-0.4702216541586105,0.001769704205703715
Loc,-1,1,-1,dinst6,hindi,Econ+Glob,TRUE,stan_models/master_model.stan,hindi/dinst6/econ_-1_loc_1_glob_-1.csv,844.5785233853385,-1.0088988456116066,-0.9905428278835096,1.2867282300179197,-0.17383342209499666,-0.1784,-0.008898845611606587,0.009457172116490442,0.2867282300179197,0.004566577905003338
Loc,0,1,-1,dinst6,hindi,Econ+Glob,TRUE,stan_models/master_model.stan,hindi/dinst6/econ_0_loc_1_glob_-1.csv,7325.67145261867,-0.155643259683369,-0.9610036256488113,1.5875265911832033,-0.17152810285399864,-0.1784,-0.155643259683369,0.038996374351188745,0.5875265911832033,0.006871897146001366
Econ+Loc,1,1,-1,dinst6,hindi,Glob,TRUE,stan_models/master_model.stan,hindi/dinst6/econ_1_loc_1_glob_-1.csv,6912.183966376353,0.9886742711887456,-0.9851767245838386,1.0277349120916377,-0.16117630478785255,-0.1784,-0.011325728811254376,0.014823275416161352,0.027734912091637698,0.01722369521214745
NA,-1,-1,0,dinst6,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst6/econ_-1_loc_-1_glob_0.csv,5361.450128546916,-0.9795109038266799,-0.1924497713363885,-1.2640192363588032,-0.18959711165282198,-0.1784,0.020489096173320065,-0.1924497713363885,-0.2640192363588032,-0.011197111652821973
