m_pos_vars,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars,is_correct_model,m_stanfile,csv_filename,seed,Econ_coef_glm,Glob_coef_glm,Loc_coef_glm,ac_dist_coef_glm,acoustic_distance,Econ_glm_diff,Glob_glm_diff,Loc_glm_diff,ac_dist_diff,intercept_brms_coef,Econ_brms_coef,Glob_brms_coef,Loc_brms_coef,ac_dist_brms_coef
NA,-1,-1,-1,dinst1,hk,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hk/dinst1/econ_-1_loc_-1_glob_-1.csv,5985.025731096277,-1.3188252674865077,-1.2741046880973417,0.15940093625032048,-0.30172368060616594,-0.1784,-0.31882526748650775,-0.2741046880973417,1.1594009362503206,-0.12332368060616594,1.2265281212701833,-1.3251371438121173,-1.2884645914619708,0.12386884699533222,-0.3028759817676195
NA,0,-1,-1,dinst1,hk,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hk/dinst1/econ_0_loc_-1_glob_-1.csv,497.3827468249947,-1.1626215567714215,-1.5558190864859116,-2.285238784351424,-0.2196672240686003,-0.1784,-1.1626215567714215,-0.5558190864859116,-1.285238784351424,-0.04126722406860028,1.6285499848631289,-1.1611585274136416,-1.563208437438072,-2.2964480339462265,-0.22102694771522036
Econ,1,-1,-1,dinst1,hk,Glob+Loc,TRUE,stan_models/master_model.stan,hk/dinst1/econ_1_loc_-1_glob_-1.csv,1802.3732714334037,-1.3670114894629535,-0.8958013035793296,-0.7961095507145309,-0.3507605646042117,-0.1784,-2.3670114894629535,0.10419869642067037,0.20389044928546907,-0.17236056460421167,1.2771997687036585,-1.3648725994424549,-0.9016642685613883,-0.8080922193004882,-0.35208837565454515
NA,-1,0,-1,dinst1,hk,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hk/dinst1/econ_-1_loc_0_glob_-1.csv,3170.7150346839335,-0.14139150709080797,0.4675619342014464,-2.3214215064105397,-0.14095534530691972,-0.1784,0.8586084929091921,1.4675619342014463,-2.3214215064105397,0.03744465469308028,1.2534901985790317,-0.147233016819694,0.46193735107872164,-2.317705171940923,-0.1431880546119663
NA,0,0,-1,dinst1,hk,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hk/dinst1/econ_0_loc_0_glob_-1.csv,337.2350267621223,-0.5728200856976976,-1.461819323139128,-1.7628912652411193,-0.21934578786221903,-0.1784,-0.5728200856976976,-0.4618193231391281,-1.7628912652411193,-0.04094578786221903,1.4628866873645603,-0.5652831599252448,-1.4673524155327429,-1.821014891201753,-0.22375029827162654
Econ,1,0,-1,dinst1,hk,Glob+Loc,TRUE,stan_models/master_model.stan,hk/dinst1/econ_1_loc_0_glob_-1.csv,2918.1995113242883,-0.12312069262124813,-0.6205210642712825,-0.5322335546310285,-0.2865815203423067,-0.1784,-1.123120692621248,0.3794789357287175,-0.5322335546310285,-0.10818152034230671,1.0989819299703176,-0.11621684870480115,-0.6183176014159832,-0.5558222723735448,-0.28657830805433154
Loc,-1,1,-1,dinst1,hk,Econ+Glob,TRUE,stan_models/master_model.stan,hk/dinst1/econ_-1_loc_1_glob_-1.csv,8398.300717445789,-1.5819060640987057,-0.7026113688212218,0.3807117756158348,-0.26803297717223773,-0.1784,-0.5819060640987057,0.29738863117877823,-0.6192882243841652,-0.08963297717223773,1.2363585042707848,-1.5862241330761109,-0.70277113971194,0.32639186699863443,-0.2678875316578759
Loc,0,1,-1,dinst1,hk,Econ+Glob,TRUE,stan_models/master_model.stan,hk/dinst1/econ_0_loc_1_glob_-1.csv,7715.82171908021,-1.4109865273968833,-0.8398749987967263,-0.2517269042564678,-0.11232699456645583,-0.1784,-1.4109865273968833,0.16012500120327366,-1.2517269042564678,0.06607300543354418,1.2905344694581191,-1.4163880082243565,-0.8474024311720899,-0.27862004456878425,-0.11336818438150678
Econ+Loc,1,1,-1,dinst1,hk,Glob,TRUE,stan_models/master_model.stan,hk/dinst1/econ_1_loc_1_glob_-1.csv,1390.0410498126876,-0.4353900306281428,-1.5309386277240598,-0.5803732053634232,-0.100883560822818,-0.1784,-1.4353900306281429,-0.5309386277240598,-1.5803732053634232,0.077516439177182,1.4545590990922819,-0.4411024259069087,-1.5455368030400773,-0.5746241504518506,-0.10216787584141634
NA,-1,-1,0,dinst1,hk,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hk/dinst1/econ_-1_loc_-1_glob_0.csv,6063.703118291916,0.06922423863119279,-1.575982303227684,-3.32394148490625,-0.03798909184075861,-0.1784,1.0692242386311928,-1.575982303227684,-2.32394148490625,0.1404109081592414,1.7628040980609927,0.0704173353990234,-1.5786330168156655,-3.339568244991022,-0.036653696282121825
NA,0,-1,0,dinst1,hk,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hk/dinst1/econ_0_loc_-1_glob_0.csv,5775.89720016811,-0.20448224341866392,-1.2329767971425827,0.01037204942933268,-0.1913277528703562,-0.1784,-0.20448224341866392,-1.2329767971425827,1.0103720494293327,-0.01292775287035619,1.2512051222610359,-0.20791855002560394,-1.240499036198164,-0.016560138950801377,-0.19278702399533623
Econ,1,-1,0,dinst1,hk,Glob+Loc,TRUE,stan_models/master_model.stan,hk/dinst1/econ_1_loc_-1_glob_0.csv,8474.185019285418,-0.23907976450455273,-1.2186655820508756,-0.47300595880537666,-0.17438916712746297,-0.1784,-1.2390797645045528,-1.2186655820508756,0.5269940411946233,0.004010832872537035,1.3484109854410018,-0.23286377227793723,-1.2291282745045138,-0.4843922875840408,-0.1740687768786463
NA,-1,0,0,dinst1,hk,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hk/dinst1/econ_-1_loc_0_glob_0.csv,8285.85317453486,-0.49937200417566924,-0.42380881792601827,-0.9398566019849253,-0.24477957337568648,-0.1784,0.5006279958243307,-0.42380881792601827,-0.9398566019849253,-0.06637957337568648,1.3132401555681505,-0.4929378886093525,-0.4267208458766075,-0.9569615904309811,-0.24852596514421454
NA,0,0,0,dinst1,hk,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hk/dinst1/econ_0_loc_0_glob_0.csv,3661.4868563902564,0.42652890218900286,-0.02714715198542503,-0.05768109941346821,-0.17208159190459626,-0.1784,0.42652890218900286,-0.02714715198542503,-0.05768109941346821,0.006318408095403738,1.1278107381728277,0.4321169261527564,-0.03718419279342253,-0.09049320916835847,-0.17276497451721348
Econ,1,0,0,dinst1,hk,Glob+Loc,TRUE,stan_models/master_model.stan,hk/dinst1/econ_1_loc_0_glob_0.csv,3406.351142060943,0.09539169495824491,-1.0800187156038414,-1.2744666469583883,-0.29075792854172444,-0.1784,-0.904608305041755,-1.0800187156038414,-1.2744666469583883,-0.11235792854172444,1.2960444855768696,0.08741919767868392,-1.1009213834570075,-1.2835951864438684,-0.29226586460978965
Loc,-1,1,0,dinst1,hk,Econ+Glob,TRUE,stan_models/master_model.stan,hk/dinst1/econ_-1_loc_1_glob_0.csv,8195.527471266454,-0.2530473148864809,-1.3838567423629515,-1.7152792242337447,-0.1649009986428069,-0.1784,0.7469526851135191,-1.3838567423629515,-2.7152792242337447,0.013499001357193091,1.5601498216111356,-0.25374195316500037,-1.3876942915190422,-1.7359912446905525,-0.16455532047928145
Loc,0,1,0,dinst1,hk,Econ+Glob,TRUE,stan_models/master_model.stan,hk/dinst1/econ_0_loc_1_glob_0.csv,8522.325423515867,0.667038832408481,-0.6713711940343282,1.2576273591531937,-0.21444260842392404,-0.1784,0.667038832408481,-0.6713711940343282,0.2576273591531937,-0.03604260842392404,1.120716623287297,0.6916885919380923,-0.6642940297297543,1.2105646248133555,-0.22665802715641464
Econ+Loc,1,1,0,dinst1,hk,Glob,TRUE,stan_models/master_model.stan,hk/dinst1/econ_1_loc_1_glob_0.csv,388.7475711123552,1.7898579150191154,-0.7455544185490525,-0.8019393629858426,-0.11177143497605306,-0.1784,0.7898579150191154,-0.7455544185490525,-1.8019393629858427,0.06662856502394694,1.2679589524407862,1.8010580592909005,-0.7733854056478617,-0.7799470294254788,-0.11683827806872496
Glob,-1,-1,1,dinst1,hk,Econ+Loc,TRUE,stan_models/master_model.stan,hk/dinst1/econ_-1_loc_-1_glob_1.csv,5024.041901684133,0.27245368537637166,-1.2545624536297262,-0.16080878248257696,-0.15948966678367119,-0.1784,1.2724536853763717,-2.254562453629726,0.839191217517423,0.018910333216328817,1.3414172870640213,0.2770130274494085,-1.2735865977249703,-0.15933587740591335,-0.16607015284388774
Glob,0,-1,1,dinst1,hk,Econ+Loc,TRUE,stan_models/master_model.stan,hk/dinst1/econ_0_loc_-1_glob_1.csv,9128.15486362297,1.0608879120268324,-0.7849348779691947,-0.6829847068508729,-0.0950920539970112,-0.1784,1.0608879120268324,-1.7849348779691947,0.31701529314912713,0.0833079460029888,1.2989886415700633,1.0554774670842888,-0.80403413228369,-0.6803561110406795,-0.09575368588951653
Econ+Glob,1,-1,1,dinst1,hk,Loc,TRUE,stan_models/master_model.stan,hk/dinst1/econ_1_loc_-1_glob_1.csv,6072.9687394958455,1.078365892616841,-1.684946896234282,-0.36986252091630867,-0.17424200363023432,-0.1784,0.0783658926168409,-2.684946896234282,0.6301374790836913,0.004157996369765687,1.3213287770662376,1.0908393643912724,-1.6952464521740893,-0.36964730769248205,-0.1732381218865498
Glob,-1,0,1,dinst1,hk,Econ+Loc,TRUE,stan_models/master_model.stan,hk/dinst1/econ_-1_loc_0_glob_1.csv,3077.81478000083,1.730878962319487,-0.8638742091307353,-3.022906239482979,-0.17648098818749847,-0.1784,2.730878962319487,-1.8638742091307354,-3.022906239482979,0.0019190118125015365,1.5430943446443526,1.730095126857899,-0.8916916374102848,-3.0323232307690624,-0.17311736582220907
Glob,0,0,1,dinst1,hk,Econ+Loc,TRUE,stan_models/master_model.stan,hk/dinst1/econ_0_loc_0_glob_1.csv,8216.29228146025,0.6821462237785326,-1.5348550555923788,-1.5988447188718622,-0.014846885580286132,-0.1784,0.6821462237785326,-2.534855055592379,-1.5988447188718622,0.16355311441971387,1.6105579805706487,0.6825052797534141,-1.557185830752616,-1.6132709632106685,-0.013957001154533287
Econ+Glob,1,0,1,dinst1,hk,Loc,TRUE,stan_models/master_model.stan,hk/dinst1/econ_1_loc_0_glob_1.csv,6907.590702760732,1.1836935194120624,-0.9164178066499158,-1.7382671864206924,-0.2554546305550609,-0.1784,0.18369351941206236,-1.9164178066499158,-1.7382671864206924,-0.0770546305550609,1.2946773264920777,1.1856884895307416,-0.9319294913946419,-1.7374568119007772,-0.2590244415468811
Glob+Loc,-1,1,1,dinst1,hk,Econ,TRUE,stan_models/master_model.stan,hk/dinst1/econ_-1_loc_1_glob_1.csv,3345.401423090836,-1.225855670389721,-1.3254820808648644,0.1809270238583895,-0.11031477980406357,-0.1784,-0.22585567038972099,-2.325482080864864,-0.8190729761416105,0.06808522019593644,1.4083081846833485,-1.2251583037571645,-1.3269729203944511,0.16632573654602667,-0.1078644371839335
Glob+Loc,0,1,1,dinst1,hk,Econ,TRUE,stan_models/master_model.stan,hk/dinst1/econ_0_loc_1_glob_1.csv,1218.0982356204186,-0.5160205319309056,-0.9252672330093109,-0.4137243092288564,-0.15302581790498554,-0.1784,-0.5160205319309056,-1.9252672330093108,-1.4137243092288565,0.025374182095014464,1.2452360735514958,-0.5169769947822196,-0.9385550891877603,-0.43524572370292325,-0.15466286295706974
Econ+Glob+Loc,1,1,1,dinst1,hk,NA,TRUE,stan_models/master_pos.stan,hk/dinst1/econ_1_loc_1_glob_1.csv,7054.949369308539,-0.957167248638492,-1.4136780548725678,0.5072939424304754,-0.20550781612909677,-0.1784,-1.9571672486384921,-2.413678054872568,-0.49270605756952457,-0.027107816129096768,1.3608262713039396,-0.9765746067838038,-1.439680558609188,0.5082052361397874,-0.2073588540113163
