Phone_NOTENG,Phone_ENG,Econ,Loc,Glob,Acoustic distance
bʰ,b,0.01668520578,0.1062291435,0.1683644595,0.06188531789265994
bʰ,d,0.01668520578,0.1062291435,0.1683644595,-0.6642842616050801
bʰ,g,0.01668520578,0.1062291435,0.1683644595,-0.6536219014136302
bʰ,p,0.01668520578,0.1062291435,0.1683644595,-0.21983726570349926
bʰ,t,0.01668520578,0.1062291435,0.1683644595,-0.8564098683754402
bʰ,k,0.01668520578,0.1062291435,0.1683644595,-0.8564098683754402
bʰ,v,0.01668520578,0.1062291435,0.1683644595,-0.32469559064381937
d̪ʰ,b,0.2001093494,0.1550027337,0.2191323693,-0.5392456792684497
d̪ʰ,d,0.2001093494,0.1550027337,0.2191323693,0.30164056720466004
d̪ʰ,g,0.2001093494,0.1550027337,0.2191323693,-0.5351366496659202
d̪ʰ,p,0.2001093494,0.1550027337,0.2191323693,-0.91295934236769
d̪ʰ,t,0.2001093494,0.1550027337,0.2191323693,-0.11503790598642993
d̪ʰ,k,0.2001093494,0.1550027337,0.2191323693,-0.72666523095823
d̪ʰ,ð,0.2001093494,0.1550027337,0.2191323693,-0.27898720356059004
ɖ,b,0.3817204301,0.1693548387,0.03225806452,-0.4782646569111302
ɖ,d,0.3817204301,0.1693548387,0.03225806452,0.17303232959971027
ɖ,g,0.3817204301,0.1693548387,0.03225806452,-0.6205589829248996
ɖ,p,0.3817204301,0.1693548387,0.03225806452,-0.8560023026263899
ɖ,t,0.3817204301,0.1693548387,0.03225806452,-0.2766760438139597
ɖ,k,0.3817204301,0.1693548387,0.03225806452,-0.9161582600343396
ɖ,ð,0.3817204301,0.1693548387,0.03225806452,-0.5885329657906304
ɖʰ,b,0.04786680541,0.08532778356,0.2474881015,-0.6880819151426705
ɖʰ,d,0.04786680541,0.08532778356,0.2474881015,0.20167511999016963
ɖʰ,g,0.04786680541,0.08532778356,0.2474881015,-0.5454183939365498
ɖʰ,p,0.04786680541,0.08532778356,0.2474881015,-0.8347154444039999
ɖʰ,t,0.04786680541,0.08532778356,0.2474881015,-0.3368152204949002
ɖʰ,k,0.04786680541,0.08532778356,0.2474881015,-0.7709263319759998
ɖʰ,ð,0.04786680541,0.08532778356,0.2474881015,-0.11512523452443002
dʒʰ,d,0.01668520578,0.1062291435,0.1239388795,-0.4337021906059393
dʒʰ,z,0.01668520578,0.1062291435,0.1239388795,-0.6711625586113801
dʒʰ,t,0.01668520578,0.1062291435,0.1239388795,-0.76136525128921
dʒʰ,s,0.01668520578,0.1062291435,0.1239388795,-0.7233715363913
dʒʰ,d͡ʒ,0.01668520578,0.1062291435,0.1239388795,0.24729505138737995
dʒʰ,t͡ʃ,0.01668520578,0.1062291435,0.1239388795,-0.3776279406275602
ɡʰ,b,0.01668520578,0.1062291435,0.1516694963,-0.44747281090639035
ɡʰ,d,0.01668520578,0.1062291435,0.1516694963,-0.45203414309149004
ɡʰ,g,0.01668520578,0.1062291435,0.1516694963,0.20167511999016963
ɡʰ,p,0.01668520578,0.1062291435,0.1516694963,-0.7803948123287303
ɡʰ,t,0.01668520578,0.1062291435,0.1516694963,-0.96652040763977
ɡʰ,k,0.01668520578,0.1062291435,0.1516694963,-0.0721818889485899
ɳ,n,0.3817204301,0.125,-0.07661290323,0.5488773405907104
ɳ,j,0.3817204301,0.125,-0.07661290323,0.24445951631444007
ɽ,b,0.0770609319,0.1326164875,0.1553166069,-1.6145363814646698
ɽ,d,0.0770609319,0.1326164875,0.1553166069,0.1273314591426704
ɽ,g,0.0770609319,0.1326164875,0.1553166069,-0.5383197016130903
ɽ,p,0.0770609319,0.1326164875,0.1553166069,-1.1125081947960198
ɽ,t,0.0770609319,0.1326164875,0.1553166069,-0.09712090082286995
ɽ,k,0.0770609319,0.1326164875,0.1553166069,-1.78989514613954
ɽ,ð,0.0770609319,0.1326164875,0.1553166069,-0.44747281090639035
ɽ,ɾ,0.0770609319,0.1326164875,0.1553166069,0.24729505138737995
ʈ,t,0.3817204301,0.1827956989,-0.08870967742,0.1399831124832005
ʈ,d,0.3817204301,0.1827956989,-0.08870967742,-0.2624025579279401
ɣ,g,0.2367172676,0.1385199241,0.1266603416,0.07222050747409003
ɣ,k,0.2367172676,0.1385199241,0.1266603416,-0.5383197016130903
ɣ,h,0.2367172676,0.1385199241,0.1266603416,-0.38921941048690023
x,k,0.295436664,0.1931348222,-0.03618134263,-0.36795391487243023
x,h,0.295436664,0.1931348222,-0.03618134263,0.2886512920025499
x,s,0.295436664,0.1931348222,-0.03618134263,-0.8716119681921399
x,ʃ,0.295436664,0.1931348222,-0.03618134263,-0.6083012001128001
bʰ,b,0.01668520578,0.1062291435,0.1683644595,0.06154405229111595
bʰ,d,0.01668520578,0.1062291435,0.1683644595,-0.6575951206987471
bʰ,g,0.01668520578,0.1062291435,0.1683644595,-0.6425284993909406
bʰ,p,0.01668520578,0.1062291435,0.1683644595,-0.2166014253805093
bʰ,t,0.01668520578,0.1062291435,0.1683644595,-0.8497122862598608
bʰ,k,0.01668520578,0.1062291435,0.1683644595,-0.8608389825615855
bʰ,v,0.01668520578,0.1062291435,0.1683644595,-0.32977317025872593
d̪ʰ,b,0.2001093494,0.1550027337,0.2191323693,-0.5322637053409667
d̪ʰ,d,0.2001093494,0.1550027337,0.2191323693,0.2978108266194819
d̪ʰ,g,0.2001093494,0.1550027337,0.2191323693,-0.5427830445029271
d̪ʰ,p,0.2001093494,0.1550027337,0.2191323693,-0.9171141922057364
d̪ʰ,t,0.2001093494,0.1550027337,0.2191323693,-0.11614766309141163
d̪ʰ,k,0.2001093494,0.1550027337,0.2191323693,-0.7175905276587345
d̪ʰ,ð,0.2001093494,0.1550027337,0.2191323693,-0.2781215828670908
ɖ,b,0.3817204301,0.1693548387,0.03225806452,-0.4867074901692328
ɖ,d,0.3817204301,0.1693548387,0.03225806452,0.17025998701836179
ɖ,g,0.3817204301,0.1693548387,0.03225806452,-0.6255623758737712
ɖ,p,0.3817204301,0.1693548387,0.03225806452,-0.8565452554152346
ɖ,t,0.3817204301,0.1693548387,0.03225806452,-0.27173918867683783
ɖ,k,0.3817204301,0.1693548387,0.03225806452,-0.9037135627617241
ɖ,ð,0.3817204301,0.1693548387,0.03225806452,-0.5828689319449674
ɖʰ,b,0.04786680541,0.08532778356,0.2474881015,-0.6881492494654015
ɖʰ,d,0.04786680541,0.08532778356,0.2474881015,0.20022412288729996
ɖʰ,g,0.04786680541,0.08532778356,0.2474881015,-0.5351431396108712
ɖʰ,p,0.04786680541,0.08532778356,0.2474881015,-0.8233074099089405
ɖʰ,t,0.04786680541,0.08532778356,0.2474881015,-0.3432425408613573
ɖʰ,k,0.04786680541,0.08532778356,0.2474881015,-0.7809567963648099
ɖʰ,ð,0.04786680541,0.08532778356,0.2474881015,-0.11691071623226093
dʒʰ,d,0.01668520578,0.1062291435,0.1239388795,-0.43174234194656824
dʒʰ,z,0.01668520578,0.1062291435,0.1239388795,-0.6747296292992477
dʒʰ,t,0.01668520578,0.1062291435,0.1239388795,-0.7598370910122494
dʒʰ,s,0.01668520578,0.1062291435,0.1239388795,-0.7179300983548266
dʒʰ,d͡ʒ,0.01668520578,0.1062291435,0.1239388795,0.24511737817910229
dʒʰ,t͡ʃ,0.01668520578,0.1062291435,0.1239388795,-0.38040713447521646
ɡʰ,b,0.01668520578,0.1062291435,0.1516694963,-0.4475162892330295
ɡʰ,d,0.01668520578,0.1062291435,0.1516694963,-0.45633718602788964
ɡʰ,g,0.01668520578,0.1062291435,0.1516694963,0.19814095449324287
ɡʰ,p,0.01668520578,0.1062291435,0.1516694963,-0.7676236205772167
ɡʰ,t,0.01668520578,0.1062291435,0.1516694963,-0.9615766533219257
ɡʰ,k,0.01668520578,0.1062291435,0.1516694963,-0.07180671975303698
ɳ,n,0.3817204301,0.125,-0.07661290323,0.5540088140732298
ɳ,j,0.3817204301,0.125,-0.07661290323,0.248682583730281
ɽ,b,0.0770609319,0.1326164875,0.1553166069,-1.6157506702327025
ɽ,d,0.0770609319,0.1326164875,0.1553166069,0.12679103429806643
ɽ,g,0.0770609319,0.1326164875,0.1553166069,-0.5366844492021634
ɽ,p,0.0770609319,0.1326164875,0.1553166069,-1.107587268705578
ɽ,t,0.0770609319,0.1326164875,0.1553166069,-0.09757417684282164
ɽ,k,0.0770609319,0.1326164875,0.1553166069,-1.7899961708912777
ɽ,ð,0.0770609319,0.1326164875,0.1553166069,-0.4472972748472445
ɽ,ɾ,0.0770609319,0.1326164875,0.1553166069,0.24385317198699719
ʈ,t,0.3817204301,0.1827956989,-0.08870967742,0.1379648651444436
ʈ,d,0.3817204301,0.1827956989,-0.08870967742,-0.2595260410646536
ɣ,g,0.2367172676,0.1385199241,0.1266603416,0.07307190616976532
ɣ,k,0.2367172676,0.1385199241,0.1266603416,-0.5363054817529305
ɣ,h,0.2367172676,0.1385199241,0.1266603416,-0.38955893290915805
x,k,0.295436664,0.1931348222,-0.03618134263,-0.36768959563540665
x,h,0.295436664,0.1931348222,-0.03618134263,0.28991908995262494
x,s,0.295436664,0.1931348222,-0.03618134263,-0.8781655886247067
x,ʃ,0.295436664,0.1931348222,-0.03618134263,-0.6183953389877165
bʰ,b,0.01668520578,0.1062291435,0.1683644595,0.06246389864699787
bʰ,d,0.01668520578,0.1062291435,0.1683644595,-0.6657420938140908
bʰ,g,0.01668520578,0.1062291435,0.1683644595,-0.6440438397220256
bʰ,p,0.01668520578,0.1062291435,0.1683644595,-0.21968656050116936
bʰ,t,0.01668520578,0.1062291435,0.1683644595,-0.8509144253895368
bʰ,k,0.01668520578,0.1062291435,0.1683644595,-0.8542706545184153
bʰ,v,0.01668520578,0.1062291435,0.1683644595,-0.32719291514720666
d̪ʰ,b,0.2001093494,0.1550027337,0.2191323693,-0.5456570609483273
d̪ʰ,d,0.2001093494,0.1550027337,0.2191323693,0.30617713553623693
d̪ʰ,g,0.2001093494,0.1550027337,0.2191323693,-0.5400041781037451
d̪ʰ,p,0.2001093494,0.1550027337,0.2191323693,-0.9036303657437526
d̪ʰ,t,0.2001093494,0.1550027337,0.2191323693,-0.11324488127786647
d̪ʰ,k,0.2001093494,0.1550027337,0.2191323693,-0.7399082598056366
d̪ʰ,ð,0.2001093494,0.1550027337,0.2191323693,-0.28174447394674385
ɖ,b,0.3817204301,0.1693548387,0.03225806452,-0.4813897024730296
ɖ,d,0.3817204301,0.1693548387,0.03225806452,0.17468568326204278
ɖ,g,0.3817204301,0.1693548387,0.03225806452,-0.631147295702864
ɖ,p,0.3817204301,0.1693548387,0.03225806452,-0.8445786315192467
ɖ,t,0.3817204301,0.1693548387,0.03225806452,-0.2712253793941699
ɖ,k,0.3817204301,0.1693548387,0.03225806452,-0.9243134055320994
ɖ,ð,0.3817204301,0.1693548387,0.03225806452,-0.5792309260367287
ɖʰ,b,0.04786680541,0.08532778356,0.2474881015,-0.6996952473407595
ɖʰ,d,0.04786680541,0.08532778356,0.2474881015,0.20240961280334144
ɖʰ,g,0.04786680541,0.08532778356,0.2474881015,-0.5456285496488973
ɖʰ,p,0.04786680541,0.08532778356,0.2474881015,-0.8311904193101083
ɖʰ,t,0.04786680541,0.08532778356,0.2474881015,-0.33270307955199885
