m_pos_vars,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars,is_correct_model,m_stanfile,csv_filename,seed,Econ_coef_glm,Glob_coef_glm,Loc_coef_glm,ac_dist_coef_glm,acoustic_distance,Econ_glm_diff,Glob_glm_diff,Loc_glm_diff,ac_dist_diff,intercept_brms_coef,Econ_brms_coef,Glob_brms_coef,Loc_brms_coef,ac_dist_brms_coef,econ_sd,glob_sd,loc_sd,intercept_brms_rhat,Econ_brms_rhat,Glob_brms_rhat,Loc_brms_rhat,ac_dist_brms_rhat,Econ_brms_diff,Glob_brms_diff,Loc_brms_diff,ac_brms_diff
Econ+Glob+Loc,-10,-10,-10,dinst7,hindi,NA,FALSE,stan_models/master_pos.stan,hindi/dinst7/econ_-10_loc_-10_glob_-10.csv,4869.474092143355,-9.301500008481804,-10.122968068369575,-10.238893952239168,-0.3038212883891534,-0.1784,0.6984999915181955,-0.12296806836957508,-0.23889395223916843,-0.1254212883891534,-3.4511411659383375,0.26732907731325506,3.428510490536331,1.3273039299514133,-0.35219310783605295,NA,NA,NA,NA,NA,NA,NA,NA,10.267329077313255,13.42851049053633,11.327303929951412,-0.17379310783605295
Econ+Glob,-10,-10,-10,dinst7,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst7/econ_-10_loc_-10_glob_-10.csv,5002.179742355831,-9.301500008481804,-10.122968068369575,-10.238893952239168,-0.3038212883891534,-0.1784,0.6984999915181955,-0.12296806836957508,-0.23889395223916843,-0.1254212883891534,-0.019345457678031995,0.33420079535957115,0.6703416968235746,-22.074542139343183,-0.367366070414081,NA,NA,NA,NA,NA,NA,NA,NA,10.334200795359571,10.670341696823575,-12.074542139343183,-0.18896607041408098
Econ+Loc,-10,-10,-10,dinst7,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst7/econ_-10_loc_-10_glob_-10.csv,7633.863864319166,-9.301500008481804,-10.122968068369575,-10.238893952239168,-0.3038212883891534,-0.1784,0.6984999915181955,-0.12296806836957508,-0.23889395223916843,-0.1254212883891534,-2.934655529319957,0.2193841326333329,-0.8601020566806203,1.023831618866095,-0.5187560559453039,NA,NA,NA,NA,NA,NA,NA,NA,10.219384132633333,9.13989794331938,11.023831618866096,-0.34035605594530394
Glob+Loc,-10,-10,-10,dinst7,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst7/econ_-10_loc_-10_glob_-10.csv,5047.394619450904,-9.301500008481804,-10.122968068369575,-10.238893952239168,-0.3038212883891534,-0.1784,0.6984999915181955,-0.12296806836957508,-0.23889395223916843,-0.1254212883891534,-2.0620451360159415,-7.8865914893081825,0.27761425354290037,3.91114812044331,-0.07358607348285673,NA,NA,NA,NA,NA,NA,NA,NA,2.1134085106918175,10.2776142535429,13.91114812044331,0.10481392651714327
Econ,-10,-10,-10,dinst7,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst7/econ_-10_loc_-10_glob_-10.csv,5780.519846400712,-9.301500008481804,-10.122968068369575,-10.238893952239168,-0.3038212883891534,-0.1784,0.6984999915181955,-0.12296806836957508,-0.23889395223916843,-0.1254212883891534,1.7069400440214024,0.2251711245525845,-4.486916476609644,-30.545178509875694,-0.545993851062756,NA,NA,NA,NA,NA,NA,NA,NA,10.225171124552585,5.513083523390356,-20.545178509875694,-0.367593851062756
Glob,-10,-10,-10,dinst7,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst7/econ_-10_loc_-10_glob_-10.csv,1854.8642282937653,-9.301500008481804,-10.122968068369575,-10.238893952239168,-0.3038212883891534,-0.1784,0.6984999915181955,-0.12296806836957508,-0.23889395223916843,-0.1254212883891534,-1.2761663089493163,-6.183107886674386,0.2708082196298425,-4.120432573692804,-0.1186158988333364,NA,NA,NA,NA,NA,NA,NA,NA,3.816892113325614,10.270808219629842,5.879567426307196,0.059784101166663606
Loc,-10,-10,-10,dinst7,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst7/econ_-10_loc_-10_glob_-10.csv,1808.141697715735,-9.301500008481804,-10.122968068369575,-10.238893952239168,-0.3038212883891534,-0.1784,0.6984999915181955,-0.12296806836957508,-0.23889395223916843,-0.1254212883891534,-0.1552149538847344,-11.154718181204855,-8.658239091290678,1.553863212745697,-0.19733874513676045,NA,NA,NA,NA,NA,NA,NA,NA,-1.1547181812048546,1.3417609087093219,11.553863212745696,-0.018938745136760443
NA,-10,-10,-10,dinst7,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst7/econ_-10_loc_-10_glob_-10.csv,6183.357424904592,-9.301500008481804,-10.122968068369575,-10.238893952239168,-0.3038212883891534,-0.1784,0.6984999915181955,-0.12296806836957508,-0.23889395223916843,-0.1254212883891534,1.0300582183353035,-9.535084360181061,-9.76061531111745,-8.544703300047951,-0.27813493971560604,NA,NA,NA,NA,NA,NA,NA,NA,0.4649156398189387,0.23938468888255038,1.455296699952049,-0.09973493971560604
Econ+Glob+Loc,0,-10,-10,dinst7,hindi,NA,FALSE,stan_models/master_pos.stan,hindi/dinst7/econ_0_loc_-10_glob_-10.csv,4851.77316417126,-0.9468935795053353,-10.295202002227505,-5.913699192299044,-0.20782897037037035,-0.1784,-0.9468935795053353,-0.29520200222750503,4.086300807700956,-0.029428970370370344,-1.9906389471476553,2.3109228138578826,0.22468247615968992,3.7010898384412743,0.05274429959335603,NA,NA,NA,NA,NA,NA,NA,NA,2.3109228138578826,10.224682476159689,13.701089838441273,0.23114429959335603
Econ+Glob,0,-10,-10,dinst7,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst7/econ_0_loc_-10_glob_-10.csv,9067.098926294595,-0.9468935795053353,-10.295202002227505,-5.913699192299044,-0.20782897037037035,-0.1784,-0.9468935795053353,-0.29520200222750503,4.086300807700956,-0.029428970370370344,-1.3075198102564745,3.656620324007293,0.22120931617436895,-3.155717523254552,-0.008304354156489785,NA,NA,NA,NA,NA,NA,NA,NA,3.656620324007293,10.221209316174368,6.844282476745448,0.17009564584351022
Econ+Loc,0,-10,-10,dinst7,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst7/econ_0_loc_-10_glob_-10.csv,6664.774564951193,-0.9468935795053353,-10.295202002227505,-5.913699192299044,-0.20782897037037035,-0.1784,-0.9468935795053353,-0.29520200222750503,4.086300807700956,-0.029428970370370344,-0.3298469326986681,0.10221424080298196,-7.539040617731071,0.40624367108491993,-0.15386404828633074,NA,NA,NA,NA,NA,NA,NA,NA,0.10221424080298196,2.4609593822689293,10.406243671084919,0.024535951713669263
Glob+Loc,0,-10,-10,dinst7,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst7/econ_0_loc_-10_glob_-10.csv,2024.5535114689264,-0.9468935795053353,-10.295202002227505,-5.913699192299044,-0.20782897037037035,-0.1784,-0.9468935795053353,-0.29520200222750503,4.086300807700956,-0.029428970370370344,-2.582975622038285,-0.41794401280244275,0.20607956216317003,11.751296074543921,0.18237636731052606,NA,NA,NA,NA,NA,NA,NA,NA,-0.41794401280244275,10.20607956216317,21.751296074543923,0.3607763673105261
Econ,0,-10,-10,dinst7,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst7/econ_0_loc_-10_glob_-10.csv,6157.841160821728,-0.9468935795053353,-10.295202002227505,-5.913699192299044,-0.20782897037037035,-0.1784,-0.9468935795053353,-0.29520200222750503,4.086300807700956,-0.029428970370370344,1.1279994407719853,0.21756503434519325,-9.676681744687787,-9.008464606986113,-0.234450256487445,NA,NA,NA,NA,NA,NA,NA,NA,0.21756503434519325,0.3233182553122127,0.991535393013887,-0.056050256487444994
