m_pos_vars_CORRECT,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars_CORRECT,m_stanfile_CORRECT,csv_filename.x,seed.x,m_pos_vars_INCORRECT,m_neg_vars_INCORRECT,m_stanfile_INCORRECT,csv_filename.y,seed.y,elpd_diff,se_diff
NA,-1,-1,-1,dinst1,hk,Econ+Glob+Loc,stan_models/master_neg.stan,hk/dinst1/econ_-1_loc_-1_glob_-1.csv,602.6430702120997,Econ+Glob+Loc,NA,stan_models/master_pos.stan,hk/dinst1/econ_-1_loc_-1_glob_-1.csv,1773.2646221553441,-12.852915358316846,4.598720308321152
NA,-1,-1,-1,dinst1,hk,Econ+Glob+Loc,stan_models/master_neg.stan,hk/dinst1/econ_-1_loc_-1_glob_-1.csv,602.6430702120997,Econ+Glob,Loc,stan_models/master_model.stan,hk/dinst1/econ_-1_loc_-1_glob_-1.csv,9097.408167787362,-7.825321092816495,3.628634446653715
NA,-1,-1,-1,dinst1,hk,Econ+Glob+Loc,stan_models/master_neg.stan,hk/dinst1/econ_-1_loc_-1_glob_-1.csv,602.6430702120997,Econ+Loc,Glob,stan_models/master_model.stan,hk/dinst1/econ_-1_loc_-1_glob_-1.csv,2262.009851131588,-12.547697541343926,4.682602087441405
NA,-1,-1,-1,dinst1,hk,Econ+Glob+Loc,stan_models/master_neg.stan,hk/dinst1/econ_-1_loc_-1_glob_-1.csv,602.6430702120997,Glob+Loc,Econ,stan_models/master_model.stan,hk/dinst1/econ_-1_loc_-1_glob_-1.csv,4685.706596334232,-6.320492954291183,2.9690936630187603
NA,-1,-1,-1,dinst1,hk,Econ+Glob+Loc,stan_models/master_neg.stan,hk/dinst1/econ_-1_loc_-1_glob_-1.csv,602.6430702120997,Econ,Glob+Loc,stan_models/master_model.stan,hk/dinst1/econ_-1_loc_-1_glob_-1.csv,9302.70129057276,-7.017720882228469,3.6554851201801393
NA,-1,-1,-1,dinst1,hk,Econ+Glob+Loc,stan_models/master_neg.stan,hk/dinst1/econ_-1_loc_-1_glob_-1.csv,602.6430702120997,Glob,Econ+Loc,stan_models/master_model.stan,hk/dinst1/econ_-1_loc_-1_glob_-1.csv,148.5198646923527,-3.6813863531336786,2.2724179812916447
NA,-1,-1,-1,dinst1,hk,Econ+Glob+Loc,stan_models/master_neg.stan,hk/dinst1/econ_-1_loc_-1_glob_-1.csv,602.6430702120997,Loc,Econ+Glob,stan_models/master_model.stan,hk/dinst1/econ_-1_loc_-1_glob_-1.csv,1100.968699224526,-2.601877394700111,1.8219477081200133
NA,-1,-1,0,dinst1,hk,Econ+Glob+Loc,stan_models/master_neg.stan,hk/dinst1/econ_-1_loc_-1_glob_0.csv,8803.989110546885,Econ+Glob+Loc,NA,stan_models/master_pos.stan,hk/dinst1/econ_-1_loc_-1_glob_0.csv,5564.793238255428,NA,NA
NA,-1,-1,0,dinst1,hk,Econ+Glob+Loc,stan_models/master_neg.stan,hk/dinst1/econ_-1_loc_-1_glob_0.csv,8803.989110546885,Econ+Glob,Loc,stan_models/master_model.stan,hk/dinst1/econ_-1_loc_-1_glob_0.csv,3117.583431544481,NA,NA
NA,-1,-1,0,dinst1,hk,Econ+Glob+Loc,stan_models/master_neg.stan,hk/dinst1/econ_-1_loc_-1_glob_0.csv,8803.989110546885,Econ+Loc,Glob,stan_models/master_model.stan,hk/dinst1/econ_-1_loc_-1_glob_0.csv,8603.051745963981,NA,NA
