m_pos_vars,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars,is_correct_model,m_stanfile,csv_filename,seed
Econ+Glob+Loc,-1,-1,-1,dinst3,fake_grid,,FALSE,stan_models/master_pos.stan,fake_grid/dinst3/econ_-1_loc_-1_glob_-1.csv,4106.6775484618265
Econ+Glob,-1,-1,-1,dinst3,fake_grid,Loc,FALSE,stan_models/master_model.stan,fake_grid/dinst3/econ_-1_loc_-1_glob_-1.csv,9190.486243060557
Econ+Loc,-1,-1,-1,dinst3,fake_grid,Glob,FALSE,stan_models/master_model.stan,fake_grid/dinst3/econ_-1_loc_-1_glob_-1.csv,477.4440093168523
Glob+Loc,-1,-1,-1,dinst3,fake_grid,Econ,FALSE,stan_models/master_model.stan,fake_grid/dinst3/econ_-1_loc_-1_glob_-1.csv,453.1787076492328
Econ,-1,-1,-1,dinst3,fake_grid,Glob+Loc,FALSE,stan_models/master_model.stan,fake_grid/dinst3/econ_-1_loc_-1_glob_-1.csv,8582.717249911278
Glob,-1,-1,-1,dinst3,fake_grid,Econ+Loc,FALSE,stan_models/master_model.stan,fake_grid/dinst3/econ_-1_loc_-1_glob_-1.csv,5284.544882620452
Loc,-1,-1,-1,dinst3,fake_grid,Econ+Glob,FALSE,stan_models/master_model.stan,fake_grid/dinst3/econ_-1_loc_-1_glob_-1.csv,7566.794994778
,-1,-1,-1,dinst3,fake_grid,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,fake_grid/dinst3/econ_-1_loc_-1_glob_-1.csv,8505.723222897854
Econ+Glob+Loc,0,-1,-1,dinst3,fake_grid,,FALSE,stan_models/master_pos.stan,fake_grid/dinst3/econ_0_loc_-1_glob_-1.csv,9932.148038668092
Econ+Glob,0,-1,-1,dinst3,fake_grid,Loc,FALSE,stan_models/master_model.stan,fake_grid/dinst3/econ_0_loc_-1_glob_-1.csv,764.6012283549644
Econ+Loc,0,-1,-1,dinst3,fake_grid,Glob,FALSE,stan_models/master_model.stan,fake_grid/dinst3/econ_0_loc_-1_glob_-1.csv,748.7097886088304
