m_pos_vars,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars,is_correct_model,m_stanfile,csv_filename,seed
Econ+Glob+Loc,-0.01,-0.01,-0.01,dinst10,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst10/econ_-0.01_loc_-0.01_glob_-0.01.csv,5648.904433057876
Econ+Glob,-0.01,-0.01,-0.01,dinst10,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_-0.01_glob_-0.01.csv,3073.6854013476986
Econ+Loc,-0.01,-0.01,-0.01,dinst10,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_-0.01_glob_-0.01.csv,9592.55948706274
Glob+Loc,-0.01,-0.01,-0.01,dinst10,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_-0.01_glob_-0.01.csv,5809.261167569086
Econ,-0.01,-0.01,-0.01,dinst10,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_-0.01_glob_-0.01.csv,3544.6073527715635
Glob,-0.01,-0.01,-0.01,dinst10,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_-0.01_glob_-0.01.csv,2555.6243408389855
Loc,-0.01,-0.01,-0.01,dinst10,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_-0.01_glob_-0.01.csv,733.5211779878009
,-0.01,-0.01,-0.01,dinst10,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst10/econ_-0.01_loc_-0.01_glob_-0.01.csv,4445.608535677195
Econ+Glob+Loc,0,-0.01,-0.01,dinst10,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst10/econ_0_loc_-0.01_glob_-0.01.csv,3349.8882029477973
Econ+Glob,0,-0.01,-0.01,dinst10,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_-0.01_glob_-0.01.csv,6267.008478286909
Econ+Loc,0,-0.01,-0.01,dinst10,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_-0.01_glob_-0.01.csv,6326.916274898918
Glob+Loc,0,-0.01,-0.01,dinst10,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_-0.01_glob_-0.01.csv,3448.369564782828
Econ,0,-0.01,-0.01,dinst10,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_-0.01_glob_-0.01.csv,6191.012743204134
Glob,0,-0.01,-0.01,dinst10,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_-0.01_glob_-0.01.csv,8123.33277963195
Loc,0,-0.01,-0.01,dinst10,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_-0.01_glob_-0.01.csv,1217.4805371628609
,0,-0.01,-0.01,dinst10,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst10/econ_0_loc_-0.01_glob_-0.01.csv,1438.5260019525886
Econ+Glob+Loc,0.01,-0.01,-0.01,dinst10,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst10/econ_0.01_loc_-0.01_glob_-0.01.csv,66.45828959601931
Econ+Glob,0.01,-0.01,-0.01,dinst10,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_-0.01_glob_-0.01.csv,9216.400875458494
Econ+Loc,0.01,-0.01,-0.01,dinst10,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_-0.01_glob_-0.01.csv,5301.869128283113
Glob+Loc,0.01,-0.01,-0.01,dinst10,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_-0.01_glob_-0.01.csv,1276.3131967906374
Econ,0.01,-0.01,-0.01,dinst10,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_-0.01_glob_-0.01.csv,7239.805439742748
Glob,0.01,-0.01,-0.01,dinst10,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_-0.01_glob_-0.01.csv,1826.7448613015004
Loc,0.01,-0.01,-0.01,dinst10,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_-0.01_glob_-0.01.csv,3423.1751312671695
,0.01,-0.01,-0.01,dinst10,hindi,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hindi/dinst10/econ_0.01_loc_-0.01_glob_-0.01.csv,7073.367353263544
Econ+Glob+Loc,-0.01,0,-0.01,dinst10,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst10/econ_-0.01_loc_0_glob_-0.01.csv,2331.901789288735
Econ+Glob,-0.01,0,-0.01,dinst10,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_0_glob_-0.01.csv,4234.779293434229
Econ+Loc,-0.01,0,-0.01,dinst10,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_0_glob_-0.01.csv,2419.585680767894
Glob+Loc,-0.01,0,-0.01,dinst10,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_0_glob_-0.01.csv,8854.242434804793
Econ,-0.01,0,-0.01,dinst10,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_0_glob_-0.01.csv,3284.587908067042
Glob,-0.01,0,-0.01,dinst10,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_0_glob_-0.01.csv,858.7906700938474
Loc,-0.01,0,-0.01,dinst10,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_0_glob_-0.01.csv,855.598511016462
,-0.01,0,-0.01,dinst10,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst10/econ_-0.01_loc_0_glob_-0.01.csv,6847.103520798497
Econ+Glob+Loc,0,0,-0.01,dinst10,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst10/econ_0_loc_0_glob_-0.01.csv,5041.634322801605
Econ+Glob,0,0,-0.01,dinst10,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_0_glob_-0.01.csv,8015.630614337977
Econ+Loc,0,0,-0.01,dinst10,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_0_glob_-0.01.csv,9463.240993044805
Glob+Loc,0,0,-0.01,dinst10,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_0_glob_-0.01.csv,7540.913844734663
Econ,0,0,-0.01,dinst10,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_0_glob_-0.01.csv,6827.475243546069
Glob,0,0,-0.01,dinst10,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_0_glob_-0.01.csv,3427.3806914729066
Loc,0,0,-0.01,dinst10,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_0_glob_-0.01.csv,3419.3916950395796
,0,0,-0.01,dinst10,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst10/econ_0_loc_0_glob_-0.01.csv,9038.567187624518
Econ+Glob+Loc,0.01,0,-0.01,dinst10,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst10/econ_0.01_loc_0_glob_-0.01.csv,5066.62543866504
Econ+Glob,0.01,0,-0.01,dinst10,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_0_glob_-0.01.csv,8282.834445300745
Econ+Loc,0.01,0,-0.01,dinst10,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_0_glob_-0.01.csv,6248.388266218128
Glob+Loc,0.01,0,-0.01,dinst10,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_0_glob_-0.01.csv,7391.706974096829
Econ,0.01,0,-0.01,dinst10,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_0_glob_-0.01.csv,7366.7037638910115
Glob,0.01,0,-0.01,dinst10,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_0_glob_-0.01.csv,6470.784707465209
Loc,0.01,0,-0.01,dinst10,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_0_glob_-0.01.csv,9727.532869541319
,0.01,0,-0.01,dinst10,hindi,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hindi/dinst10/econ_0.01_loc_0_glob_-0.01.csv,5888.468899244443
Econ+Glob+Loc,-0.01,0.01,-0.01,dinst10,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst10/econ_-0.01_loc_0.01_glob_-0.01.csv,1346.956767479889
Econ+Glob,-0.01,0.01,-0.01,dinst10,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_0.01_glob_-0.01.csv,7253.456993311178
Econ+Loc,-0.01,0.01,-0.01,dinst10,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_0.01_glob_-0.01.csv,6860.108249380486
Glob+Loc,-0.01,0.01,-0.01,dinst10,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_0.01_glob_-0.01.csv,9359.016138595762
Econ,-0.01,0.01,-0.01,dinst10,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_0.01_glob_-0.01.csv,4953.0223773724865
Glob,-0.01,0.01,-0.01,dinst10,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_0.01_glob_-0.01.csv,3676.195071350783
Loc,-0.01,0.01,-0.01,dinst10,hindi,Econ+Glob,TRUE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_0.01_glob_-0.01.csv,8084.534341123188
,-0.01,0.01,-0.01,dinst10,hindi,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hindi/dinst10/econ_-0.01_loc_0.01_glob_-0.01.csv,4337.828233248787
Econ+Glob+Loc,0,0.01,-0.01,dinst10,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst10/econ_0_loc_0.01_glob_-0.01.csv,4117.9270236205775
Econ+Glob,0,0.01,-0.01,dinst10,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_0.01_glob_-0.01.csv,5842.859273988754
Econ+Loc,0,0.01,-0.01,dinst10,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_0.01_glob_-0.01.csv,12.221975953318179
Glob+Loc,0,0.01,-0.01,dinst10,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_0.01_glob_-0.01.csv,241.69157042982988
Econ,0,0.01,-0.01,dinst10,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_0.01_glob_-0.01.csv,1147.3142308751121
Glob,0,0.01,-0.01,dinst10,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_0.01_glob_-0.01.csv,412.5547893769108
Loc,0,0.01,-0.01,dinst10,hindi,Econ+Glob,TRUE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_0.01_glob_-0.01.csv,6969.833706196165
,0,0.01,-0.01,dinst10,hindi,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hindi/dinst10/econ_0_loc_0.01_glob_-0.01.csv,1138.9563767877407
Econ+Glob+Loc,0.01,0.01,-0.01,dinst10,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst10/econ_0.01_loc_0.01_glob_-0.01.csv,2463.554549588356
Econ+Glob,0.01,0.01,-0.01,dinst10,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_0.01_glob_-0.01.csv,8626.615633975249
Econ+Loc,0.01,0.01,-0.01,dinst10,hindi,Glob,TRUE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_0.01_glob_-0.01.csv,7802.562719796319
Glob+Loc,0.01,0.01,-0.01,dinst10,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_0.01_glob_-0.01.csv,2650.151932941051
Econ,0.01,0.01,-0.01,dinst10,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_0.01_glob_-0.01.csv,2472.852407627506
Glob,0.01,0.01,-0.01,dinst10,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_0.01_glob_-0.01.csv,646.6384813997429
Loc,0.01,0.01,-0.01,dinst10,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_0.01_glob_-0.01.csv,8505.719190674368
,0.01,0.01,-0.01,dinst10,hindi,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hindi/dinst10/econ_0.01_loc_0.01_glob_-0.01.csv,4436.093736099079
Econ+Glob+Loc,-0.01,-0.01,0,dinst10,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst10/econ_-0.01_loc_-0.01_glob_0.csv,7374.153280483792
Econ+Glob,-0.01,-0.01,0,dinst10,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_-0.01_glob_0.csv,1956.5168896666728
Econ+Loc,-0.01,-0.01,0,dinst10,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_-0.01_glob_0.csv,1478.0000171568245
Glob+Loc,-0.01,-0.01,0,dinst10,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_-0.01_glob_0.csv,4769.071259413846
Econ,-0.01,-0.01,0,dinst10,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_-0.01_glob_0.csv,2209.856774577871
Glob,-0.01,-0.01,0,dinst10,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_-0.01_glob_0.csv,9811.925405054819
Loc,-0.01,-0.01,0,dinst10,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_-0.01_glob_0.csv,8020.476026949706
,-0.01,-0.01,0,dinst10,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst10/econ_-0.01_loc_-0.01_glob_0.csv,2050.8174899360165
Econ+Glob+Loc,0,-0.01,0,dinst10,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst10/econ_0_loc_-0.01_glob_0.csv,1659.557018717518
Econ+Glob,0,-0.01,0,dinst10,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_-0.01_glob_0.csv,3946.580715431832
Econ+Loc,0,-0.01,0,dinst10,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_-0.01_glob_0.csv,1091.8920407709666
Glob+Loc,0,-0.01,0,dinst10,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_-0.01_glob_0.csv,7576.353017370682
Econ,0,-0.01,0,dinst10,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_-0.01_glob_0.csv,7722.5616481502075
Glob,0,-0.01,0,dinst10,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_-0.01_glob_0.csv,5309.462927237619
Loc,0,-0.01,0,dinst10,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_-0.01_glob_0.csv,8124.1005759791005
,0,-0.01,0,dinst10,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst10/econ_0_loc_-0.01_glob_0.csv,3494.3526153729763
Econ+Glob+Loc,0.01,-0.01,0,dinst10,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst10/econ_0.01_loc_-0.01_glob_0.csv,2677.4234504471533
Econ+Glob,0.01,-0.01,0,dinst10,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_-0.01_glob_0.csv,3973.4635494090617
Econ+Loc,0.01,-0.01,0,dinst10,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_-0.01_glob_0.csv,8890.577755142003
