m_pos_vars,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars,is_correct_model,m_stanfile,csv_filename,seed
Econ+Glob+Loc,10,10,10,reps,hindi,,TRUE,stan_models/master_pos.stan,hindi/reps/econ_10_loc_10_glob_10_rep1.csv,0.5587679555
Econ+Glob,10,10,10,reps,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep2.csv,0.1755798566
Econ+Loc,10,10,10,reps,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep3.csv,0.8791068791
Glob+Loc,10,10,10,reps,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep4.csv,0.06549947309
Econ,10,10,10,reps,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep5.csv,0.1657010787
Glob,10,10,10,reps,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep6.csv,0.8595237824
Loc,10,10,10,reps,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep7.csv,0.4652769025
,10,10,10,reps,hindi,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hindi/reps/econ_10_loc_10_glob_10_rep8.csv,0.1690706226
Econ+Glob+Loc,10,10,10,reps,hindi,,TRUE,stan_models/master_pos.stan,hindi/reps/econ_10_loc_10_glob_10_rep9.csv,0.6091965821
Econ+Glob,10,10,10,reps,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep10.csv,0.7121370365
Econ+Loc,10,10,10,reps,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep11.csv,0.9213825566
Glob+Loc,10,10,10,reps,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep12.csv,0.5922948853
Econ,10,10,10,reps,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep13.csv,0.694557869
Glob,10,10,10,reps,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep14.csv,0.3569590974
Loc,10,10,10,reps,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep15.csv,0.09308900326
,10,10,10,reps,hindi,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hindi/reps/econ_10_loc_10_glob_10_rep16.csv,0.6713868005
Econ+Glob+Loc,10,10,10,reps,hindi,,TRUE,stan_models/master_pos.stan,hindi/reps/econ_10_loc_10_glob_10_rep17.csv,0.3878194924
Econ+Glob,10,10,10,reps,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep18.csv,0.7448601964
Econ+Loc,10,10,10,reps,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep19.csv,0.7786255107
Glob+Loc,10,10,10,reps,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep20.csv,0.1032965632
Econ,10,10,10,reps,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep21.csv,0.162978323
Glob,10,10,10,reps,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep22.csv,0.7415065485
Loc,10,10,10,reps,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep23.csv,0.7216724941
,10,10,10,reps,hindi,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hindi/reps/econ_10_loc_10_glob_10_rep24.csv,0.6736649267
Econ+Glob+Loc,10,10,10,reps,hindi,,TRUE,stan_models/master_pos.stan,hindi/reps/econ_10_loc_10_glob_10_rep25.csv,0.1987607931
Econ+Glob,10,10,10,reps,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep26.csv,0.2200650618
Econ+Loc,10,10,10,reps,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep27.csv,0.8656898931
Glob+Loc,10,10,10,reps,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep28.csv,0.8375312162
Econ,10,10,10,reps,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep29.csv,0.7374154792
Glob,10,10,10,reps,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep30.csv,0.3279996328
Loc,10,10,10,reps,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep31.csv,0.8927446886
,10,10,10,reps,hindi,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hindi/reps/econ_10_loc_10_glob_10_rep32.csv,0.501812503
Econ+Glob+Loc,10,10,10,reps,hindi,,TRUE,stan_models/master_pos.stan,hindi/reps/econ_10_loc_10_glob_10_rep33.csv,0.3627802936
Econ+Glob,10,10,10,reps,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep34.csv,0.4592275816
Econ+Loc,10,10,10,reps,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep35.csv,0.3854945694
Glob+Loc,10,10,10,reps,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep36.csv,0.9447863623
Econ,10,10,10,reps,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep37.csv,0.839751236
Glob,10,10,10,reps,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep38.csv,0.588339238
