m_pos_vars,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars,is_correct_model,m_stanfile,csv_filename,seed
Econ+Glob+Loc,-1,-1,-1,dinst1,hk,,FALSE,stan_models/master_pos.stan,hk/dinst1/econ_-1_loc_-1_glob_-1.csv,1463.8594587116968
Econ+Glob,-1,-1,-1,dinst1,hk,Loc,FALSE,stan_models/master_model.stan,hk/dinst1/econ_-1_loc_-1_glob_-1.csv,1786.9430510054808
Econ+Loc,-1,-1,-1,dinst1,hk,Glob,FALSE,stan_models/master_model.stan,hk/dinst1/econ_-1_loc_-1_glob_-1.csv,3707.695867476519
Glob+Loc,-1,-1,-1,dinst1,hk,Econ,FALSE,stan_models/master_model.stan,hk/dinst1/econ_-1_loc_-1_glob_-1.csv,3888.7863766322844
Econ,-1,-1,-1,dinst1,hk,Glob+Loc,FALSE,stan_models/master_model.stan,hk/dinst1/econ_-1_loc_-1_glob_-1.csv,4286.253219699487
Glob,-1,-1,-1,dinst1,hk,Econ+Loc,FALSE,stan_models/master_model.stan,hk/dinst1/econ_-1_loc_-1_glob_-1.csv,6793.156838136958
Loc,-1,-1,-1,dinst1,hk,Econ+Glob,FALSE,stan_models/master_model.stan,hk/dinst1/econ_-1_loc_-1_glob_-1.csv,2055.380407112185
,-1,-1,-1,dinst1,hk,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hk/dinst1/econ_-1_loc_-1_glob_-1.csv,3653.4867410773877
Econ+Glob+Loc,0,-1,-1,dinst1,hk,,FALSE,stan_models/master_pos.stan,hk/dinst1/econ_0_loc_-1_glob_-1.csv,9717.284524234943
Econ+Glob,0,-1,-1,dinst1,hk,Loc,FALSE,stan_models/master_model.stan,hk/dinst1/econ_0_loc_-1_glob_-1.csv,7733.221366390819
Econ+Loc,0,-1,-1,dinst1,hk,Glob,FALSE,stan_models/master_model.stan,hk/dinst1/econ_0_loc_-1_glob_-1.csv,2215.941253148718
Glob+Loc,0,-1,-1,dinst1,hk,Econ,FALSE,stan_models/master_model.stan,hk/dinst1/econ_0_loc_-1_glob_-1.csv,4732.8808407059405
Econ,0,-1,-1,dinst1,hk,Glob+Loc,FALSE,stan_models/master_model.stan,hk/dinst1/econ_0_loc_-1_glob_-1.csv,5871.915737168863
Glob,0,-1,-1,dinst1,hk,Econ+Loc,FALSE,stan_models/master_model.stan,hk/dinst1/econ_0_loc_-1_glob_-1.csv,4617.221585227409
Loc,0,-1,-1,dinst1,hk,Econ+Glob,FALSE,stan_models/master_model.stan,hk/dinst1/econ_0_loc_-1_glob_-1.csv,7737.3154235112015
,0,-1,-1,dinst1,hk,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hk/dinst1/econ_0_loc_-1_glob_-1.csv,2606.697424046928
Econ+Glob+Loc,1,-1,-1,dinst1,hk,,FALSE,stan_models/master_pos.stan,hk/dinst1/econ_1_loc_-1_glob_-1.csv,1315.0152064906433
Econ+Glob,1,-1,-1,dinst1,hk,Loc,FALSE,stan_models/master_model.stan,hk/dinst1/econ_1_loc_-1_glob_-1.csv,5090.358801122522
Econ+Loc,1,-1,-1,dinst1,hk,Glob,FALSE,stan_models/master_model.stan,hk/dinst1/econ_1_loc_-1_glob_-1.csv,7462.73635314405
Glob+Loc,1,-1,-1,dinst1,hk,Econ,FALSE,stan_models/master_model.stan,hk/dinst1/econ_1_loc_-1_glob_-1.csv,8318.401906432817
Econ,1,-1,-1,dinst1,hk,Glob+Loc,TRUE,stan_models/master_model.stan,hk/dinst1/econ_1_loc_-1_glob_-1.csv,448.9566809788812
Glob,1,-1,-1,dinst1,hk,Econ+Loc,FALSE,stan_models/master_model.stan,hk/dinst1/econ_1_loc_-1_glob_-1.csv,9606.437848546077
Loc,1,-1,-1,dinst1,hk,Econ+Glob,FALSE,stan_models/master_model.stan,hk/dinst1/econ_1_loc_-1_glob_-1.csv,3716.8359286866616
,1,-1,-1,dinst1,hk,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hk/dinst1/econ_1_loc_-1_glob_-1.csv,102.49314409750514
Econ+Glob+Loc,-1,0,-1,dinst1,hk,,FALSE,stan_models/master_pos.stan,hk/dinst1/econ_-1_loc_0_glob_-1.csv,2468.2363964046817
Econ+Glob,-1,0,-1,dinst1,hk,Loc,FALSE,stan_models/master_model.stan,hk/dinst1/econ_-1_loc_0_glob_-1.csv,4957.01192028448
Econ+Loc,-1,0,-1,dinst1,hk,Glob,FALSE,stan_models/master_model.stan,hk/dinst1/econ_-1_loc_0_glob_-1.csv,6311.5229940149
Glob+Loc,-1,0,-1,dinst1,hk,Econ,FALSE,stan_models/master_model.stan,hk/dinst1/econ_-1_loc_0_glob_-1.csv,1692.1417961791158
Econ,-1,0,-1,dinst1,hk,Glob+Loc,FALSE,stan_models/master_model.stan,hk/dinst1/econ_-1_loc_0_glob_-1.csv,2617.1946264533326
Glob,-1,0,-1,dinst1,hk,Econ+Loc,FALSE,stan_models/master_model.stan,hk/dinst1/econ_-1_loc_0_glob_-1.csv,2208.069065480493
Loc,-1,0,-1,dinst1,hk,Econ+Glob,FALSE,stan_models/master_model.stan,hk/dinst1/econ_-1_loc_0_glob_-1.csv,5977.438143442152
,-1,0,-1,dinst1,hk,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hk/dinst1/econ_-1_loc_0_glob_-1.csv,9849.24215508555
Econ+Glob+Loc,0,0,-1,dinst1,hk,,FALSE,stan_models/master_pos.stan,hk/dinst1/econ_0_loc_0_glob_-1.csv,1395.6957543555181
Econ+Glob,0,0,-1,dinst1,hk,Loc,FALSE,stan_models/master_model.stan,hk/dinst1/econ_0_loc_0_glob_-1.csv,7769.20011897455
Econ+Loc,0,0,-1,dinst1,hk,Glob,FALSE,stan_models/master_model.stan,hk/dinst1/econ_0_loc_0_glob_-1.csv,2994.1376335695386
Glob+Loc,0,0,-1,dinst1,hk,Econ,FALSE,stan_models/master_model.stan,hk/dinst1/econ_0_loc_0_glob_-1.csv,101.23339786054567
Econ,0,0,-1,dinst1,hk,Glob+Loc,FALSE,stan_models/master_model.stan,hk/dinst1/econ_0_loc_0_glob_-1.csv,5888.825930284569
Glob,0,0,-1,dinst1,hk,Econ+Loc,FALSE,stan_models/master_model.stan,hk/dinst1/econ_0_loc_0_glob_-1.csv,4170.747761419509
Loc,0,0,-1,dinst1,hk,Econ+Glob,FALSE,stan_models/master_model.stan,hk/dinst1/econ_0_loc_0_glob_-1.csv,5263.736213847995
,0,0,-1,dinst1,hk,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hk/dinst1/econ_0_loc_0_glob_-1.csv,3823.6257684959564
Econ+Glob+Loc,1,0,-1,dinst1,hk,,FALSE,stan_models/master_pos.stan,hk/dinst1/econ_1_loc_0_glob_-1.csv,4704.147376785986
Econ+Glob,1,0,-1,dinst1,hk,Loc,FALSE,stan_models/master_model.stan,hk/dinst1/econ_1_loc_0_glob_-1.csv,7644.390388812637
Econ+Loc,1,0,-1,dinst1,hk,Glob,FALSE,stan_models/master_model.stan,hk/dinst1/econ_1_loc_0_glob_-1.csv,492.6136926994659
