subject,trial,Phone_NOTENG,Phone_ENG,Econ,Loc,Glob,acoustic_distance,response_var
subject_1,trial_1,bʰ,b,0.01668520578,0.1062291435,0.1683644595,0.06188531789265994,1
subject_2,trial_1,bʰ,d,0.01668520578,0.1062291435,0.1683644595,-0.6642842616050801,1
subject_3,trial_1,bʰ,g,0.01668520578,0.1062291435,0.1683644595,-0.6536219014136302,1
subject_4,trial_1,bʰ,p,0.01668520578,0.1062291435,0.1683644595,-0.21983726570349926,1
subject_5,trial_1,bʰ,t,0.01668520578,0.1062291435,0.1683644595,-0.8564098683754402,0
subject_6,trial_1,bʰ,k,0.01668520578,0.1062291435,0.1683644595,-0.8564098683754402,1
subject_7,trial_1,bʰ,v,0.01668520578,0.1062291435,0.1683644595,-0.32469559064381937,1
subject_8,trial_1,d̪ʰ,b,0.2001093494,0.1550027337,0.2191323693,-0.5392456792684497,0
subject_9,trial_1,d̪ʰ,d,0.2001093494,0.1550027337,0.2191323693,0.30164056720466004,0
subject_10,trial_1,d̪ʰ,g,0.2001093494,0.1550027337,0.2191323693,-0.5351366496659202,0
subject_11,trial_1,d̪ʰ,p,0.2001093494,0.1550027337,0.2191323693,-0.91295934236769,1
subject_12,trial_1,d̪ʰ,t,0.2001093494,0.1550027337,0.2191323693,-0.11503790598642993,1
subject_13,trial_1,d̪ʰ,k,0.2001093494,0.1550027337,0.2191323693,-0.72666523095823,0
subject_14,trial_1,d̪ʰ,ð,0.2001093494,0.1550027337,0.2191323693,-0.27898720356059004,1
subject_15,trial_1,ɖ,b,0.3817204301,0.1693548387,0.03225806452,-0.4782646569111302,0
subject_16,trial_1,ɖ,d,0.3817204301,0.1693548387,0.03225806452,0.17303232959971027,0
subject_17,trial_1,ɖ,g,0.3817204301,0.1693548387,0.03225806452,-0.6205589829248996,1
subject_18,trial_1,ɖ,p,0.3817204301,0.1693548387,0.03225806452,-0.8560023026263899,1
subject_19,trial_1,ɖ,t,0.3817204301,0.1693548387,0.03225806452,-0.2766760438139597,1
subject_20,trial_1,ɖ,k,0.3817204301,0.1693548387,0.03225806452,-0.9161582600343396,1
subject_21,trial_1,ɖ,ð,0.3817204301,0.1693548387,0.03225806452,-0.5885329657906304,1
subject_22,trial_1,ɖʰ,b,0.04786680541,0.08532778356,0.2474881015,-0.6880819151426705,1
subject_23,trial_1,ɖʰ,d,0.04786680541,0.08532778356,0.2474881015,0.20167511999016963,0
subject_24,trial_1,ɖʰ,g,0.04786680541,0.08532778356,0.2474881015,-0.5454183939365498,0
subject_25,trial_1,ɖʰ,p,0.04786680541,0.08532778356,0.2474881015,-0.8347154444039999,1
subject_26,trial_1,ɖʰ,t,0.04786680541,0.08532778356,0.2474881015,-0.3368152204949002,1
subject_27,trial_1,ɖʰ,k,0.04786680541,0.08532778356,0.2474881015,-0.7709263319759998,0
subject_28,trial_1,ɖʰ,ð,0.04786680541,0.08532778356,0.2474881015,-0.11512523452443002,0
subject_29,trial_1,dʒʰ,d,0.01668520578,0.1062291435,0.1239388795,-0.4337021906059393,0
subject_30,trial_1,dʒʰ,z,0.01668520578,0.1062291435,0.1239388795,-0.6711625586113801,0
subject_1,trial_2,dʒʰ,t,0.01668520578,0.1062291435,0.1239388795,-0.76136525128921,0
subject_2,trial_2,dʒʰ,s,0.01668520578,0.1062291435,0.1239388795,-0.7233715363913,1
subject_3,trial_2,dʒʰ,d͡ʒ,0.01668520578,0.1062291435,0.1239388795,0.24729505138737995,1
subject_4,trial_2,dʒʰ,t͡ʃ,0.01668520578,0.1062291435,0.1239388795,-0.3776279406275602,1
subject_5,trial_2,ɡʰ,b,0.01668520578,0.1062291435,0.1516694963,-0.44747281090639035,1
subject_6,trial_2,ɡʰ,d,0.01668520578,0.1062291435,0.1516694963,-0.45203414309149004,1
subject_7,trial_2,ɡʰ,g,0.01668520578,0.1062291435,0.1516694963,0.20167511999016963,0
subject_8,trial_2,ɡʰ,p,0.01668520578,0.1062291435,0.1516694963,-0.7803948123287303,1
subject_9,trial_2,ɡʰ,t,0.01668520578,0.1062291435,0.1516694963,-0.96652040763977,0
subject_10,trial_2,ɡʰ,k,0.01668520578,0.1062291435,0.1516694963,-0.0721818889485899,1
subject_11,trial_2,ɳ,n,0.3817204301,0.125,-0.07661290323,0.5488773405907104,1
subject_12,trial_2,ɳ,j,0.3817204301,0.125,-0.07661290323,0.24445951631444007,0
subject_13,trial_2,ɽ,b,0.0770609319,0.1326164875,0.1553166069,-1.6145363814646698,1
subject_14,trial_2,ɽ,d,0.0770609319,0.1326164875,0.1553166069,0.1273314591426704,0
subject_15,trial_2,ɽ,g,0.0770609319,0.1326164875,0.1553166069,-0.5383197016130903,1
subject_16,trial_2,ɽ,p,0.0770609319,0.1326164875,0.1553166069,-1.1125081947960198,1
subject_17,trial_2,ɽ,t,0.0770609319,0.1326164875,0.1553166069,-0.09712090082286995,1
subject_18,trial_2,ɽ,k,0.0770609319,0.1326164875,0.1553166069,-1.78989514613954,1
subject_19,trial_2,ɽ,ð,0.0770609319,0.1326164875,0.1553166069,-0.44747281090639035,1
