subject,trial,Phone_NOTENG,Phone_ENG,acoustic_distance,Econ,Loc,Glob,response_var
subject_1,trial_1,bʰ,b,0.061648399825602475,0.01668520578,0.1062291435,0.1683644595,1
subject_2,trial_1,bʰ,d,-0.6641041911821721,0.01668520578,0.1062291435,0.1683644595,1
subject_3,trial_1,d̪ʰ,d,0.3018787597843443,0.2001093494,0.1550027337,0.2191323693,0
subject_4,trial_1,d̪ʰ,t,-0.11517169078266977,0.2001093494,0.1550027337,0.2191323693,1
subject_5,trial_1,ɖ,d,0.1725383750723395,0.3817204301,0.1693548387,0.03225806452,1
subject_6,trial_1,ɖ,t,-0.27694931785147353,0.3817204301,0.1693548387,0.03225806452,1
subject_7,trial_1,ɖʰ,d,0.2014989030810249,0.04786680541,0.08532778356,0.2474881015,1
subject_8,trial_1,ɖʰ,t,-0.3365147348073882,0.04786680541,0.08532778356,0.2474881015,1
subject_9,trial_1,dʒʰ,d͡ʒ,0.24748857569486946,0.01668520578,0.1062291435,0.1239388795,0
subject_10,trial_1,dʒʰ,t͡ʃ,-0.37749615286976335,0.01668520578,0.1062291435,0.1239388795,1
subject_11,trial_1,ɡʰ,g,0.2012047793019739,0.01668520578,0.1062291435,0.1516694963,1
subject_12,trial_1,ɡʰ,k,-0.0721682362739624,0.01668520578,0.1062291435,0.1516694963,1
subject_13,trial_1,ɳ,n,0.5484809962943831,0.3817204301,0.125,-0.07661290323,1
subject_14,trial_1,ɳ,j,0.24419187014667737,0.3817204301,0.125,-0.07661290323,1
subject_15,trial_1,ɽ,d,0.1277628992292872,0.0770609319,0.1326164875,0.1553166069,1
subject_16,trial_1,ɽ,ɾ,0.24708387116042077,0.0770609319,0.1326164875,0.1553166069,1
subject_17,trial_1,ʈ,t,0.13951764394137323,0.3817204301,0.1827956989,-0.08870967742,1
subject_18,trial_1,ʈ,d,-0.26288096444426984,0.3817204301,0.1827956989,-0.08870967742,1
subject_19,trial_1,bʰ,b,0.06144764045609504,0.01668520578,0.1062291435,0.1683644595,1
subject_20,trial_1,bʰ,d,-0.6637608361889517,0.01668520578,0.1062291435,0.1683644595,1
