tripletid,file_X,onset_X,offset_X,phoneitem_id_X,phone1_X,phone3_X,speaker_X,sex_X,dialect_X,phone_X,distance_OTH,dialect_OTH,file_OTH,offset_OTH,onset_OTH,phone1_OTH,phone3_OTH,phoneitem_id_OTH,sex_OTH,speaker_OTH,phone_OTH,distance_TGT,dialect_TGT,file_TGT,offset_TGT,onset_TGT,phone1_TGT,phone3_TGT,phoneitem_id_TGT,sex_TGT,speaker_TGT,phone_TGT
t00000050941,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR5/MBPM0/SX47.riff,0.115,0.3816,i30731,m,m,MBPM0,M,DR5,aa,0.481261664523696,DR6,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR6/FHXS0/SX355.riff,2.4421,2.2036,m,m,i161117,F,FHXS0,ae,0.412427786981254,DR6,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR6/FHXS0/SI2335.riff,2.3586,2.0689,m,m,i161067,F,FHXS0,aa
t00000105620,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR7/MKDB0/SX62.riff,0.3275,0.5511,i140961,k,n,MKDB0,M,DR7,aa,0.508080553976384,DR7,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR7/MTML0/SX75.riff,0.8334,0.6206,k,n,i146038,M,MTML0,ae,0.394570614615218,DR7,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR7/MTML0/SX435.riff,1.8589,1.5925,k,n,i145924,M,MTML0,aa
t00000105963,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR6/MSAT1/SX353.riff,0.1939,0.4825,i165116,k,n,MSAT1,M,DR6,aa,0.453982916992181,DR7,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR7/MJFR0/SX75.riff,0.9286,0.6725,k,n,i137166,M,MJFR0,ae,0.347718516356283,DR7,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR7/MJFR0/SX435.riff,2.7287,2.2425,k,n,i137024,M,MJFR0,aa
t00000095760,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR4/MLJC0/SX55.riff,0.8789,1.0684,i54456,k,m,MLJC0,M,DR4,aa,0.432272712482844,DR2,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/FJKL0/SX392.riff,1.1566,0.9347,k,m,i90972,F,FJKL0,ae,0.369777324588462,DR2,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/FJKL0/SI932.riff,2.4759,2.1825,k,m,i90917,F,FJKL0,aa
t00000075973,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR4/MBNS0/SX50.riff,0.4934,0.7258,i7672,r,f,MBNS0,M,DR4,aa,0.381746127704069,DR4,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR4/MARW0/SX286.riff,2.3089,2.06,r,f,i56707,M,MARW0,ae,0.311082518550032,DR4,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR4/MARW0/SI646.riff,1.5825,1.3325,r,f,i56898,M,MARW0,aa
t00000000425,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR1/FDAC1/SX304.riff,1.0802,1.53,i44329,t,k,FDAC1,F,DR1,aa,0.374928858486426,DR6,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR6/FLNH0/SI584.riff,0.7519,0.4804,t,k,i40196,F,FLNH0,ae,0.393420764351569,DR6,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR6/FLNH0/SI941.riff,4.1225,3.7991,t,k,i40162,F,FLNH0,aa
t00000017157,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/MDWD0/SA1.riff,0.6525,0.8525,i99043,d,r,MDWD0,M,DR2,aa,0.37080765388253,DR7,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR7/FBLV0/SX338.riff,2.2167,2.0341,d,r,i136059,F,FBLV0,ah,0.294015211628779,DR7,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR7/FBLV0/SA1.riff,0.9321,0.6971,d,r,i136018,F,FBLV0,aa
t00000098530,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR5/FSKP0/SX288.riff,0.7425,1.0757,i124645,k,m,FSKP0,F,DR5,aa,0.379385463951196,DR1,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR1/FELC0/SX306.riff,1.5324,1.2825,k,m,i44051,F,FELC0,ah,0.342909321224766,DR1,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR1/FELC0/SX36.riff,1.2896,1.0025,k,m,i43806,F,FELC0,aa
t00000012734,/Users/emd/0/_data/TIMIT/timit/TIMIT/TEST/DR4/FJMG0/SX101.riff,3.4925,3.765,i3801,hh,l,FJMG0,F,DR4,aa,0.392999684336148,DR7,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR7/MRMG0/SX360.riff,2.8475,2.48,hh,l,i151280,M,MRMG0,ah,0.396159411926892,DR7,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR7/MRMG0/SX270.riff,0.6434,0.3968,hh,l,i151284,M,MRMG0,aa
t00000007711,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR2/MTAT1/SX419.riff,2.1436,2.4912,i96192,w,tcl,MTAT1,M,DR2,aa,0.331262437703216,DR7,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR7/MSAH1/SI2309.riff,1.6332,1.5369,w,tcl,i146153,M,MSAH1,ah,0.2729441725257,DR7,/Users/emd/0/_data/TIMIT/timit/TIMIT/TRAIN/DR7/MSAH1/SX419.riff,1.7856,1.5718,w,tcl,i146182,M,MSAH1,aa
