m_pos_vars,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars,is_correct_model,m_stanfile,csv_filename,seed,Econ_coef_glm,Glob_coef_glm,Loc_coef_glm,ac_dist_coef_glm,acoustic_distance,Econ_glm_diff,Glob_glm_diff,Loc_glm_diff,ac_dist_diff,intercept_brms_coef,Econ_brms_coef,Glob_brms_coef,Loc_brms_coef,ac_dist_brms_coef,intercept_brms_rhat,Econ_brms_rhat,Glob_brms_rhat,Loc_brms_rhat,ac_dist_brms_rhat,econ_sd,glob_sd,loc_sd
NA,-1,-1,-1,dinst3,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst3/econ_-1_loc_-1_glob_-1.csv,9039.561554423068,-0.49748482151377516,-0.6367008325166991,-1.404124894114415,0.1745113525237045,-0.1784,0.5025151784862248,0.36329916748330093,-0.4041248941144151,0.35291135252370454,1.3692391551626875,-0.38462068046852443,-0.7422651054957615,-2.003145081007883,-0.13855830016762458,0.9994661982633292,0.9996186420118729,0.999325558105715,0.9996120298993623,1.000280538684176,0.4279876023667377,0.448032953096513,0.448032953096513
NA,0,-1,-1,dinst3,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst3/econ_0_loc_-1_glob_-1.csv,316.1241880040616,-0.002188163639376127,-0.6405993003943126,-1.0807449641335662,0.18327168702728452,-0.1784,-0.002188163639376127,0.35940069960568743,-0.08074496413356624,0.3616716870272845,1.4394040245868451,0.3563587802721494,-0.8556786918817566,-2.624452070724168,-0.34163597801768836,1.000041150755594,0.9992497531959065,0.9994532048820138,0.9998547389583836,1.0001152832699778,0.45466769257365414,0.4562179399934828,0.4562179399934828
Econ,1,-1,-1,dinst3,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst3/econ_1_loc_-1_glob_-1.csv,4039.9001863291487,0.9363260279195638,-0.8306035034142363,-1.6297696156843098,0.19507227642156047,-0.1784,-0.06367397208043624,0.16939649658576372,-0.6297696156843098,0.37347227642156045,1.5072408080599045,1.0423873800335823,-0.8975671678768955,-2.0660596120721713,-0.10769700472408471,0.9993599653425043,0.999858397659543,0.999497453534018,0.9997622391904983,0.9999453993553192,0.4302541841013377,0.440469613357727,0.440469613357727
NA,-1,0,-1,dinst3,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst3/econ_-1_loc_0_glob_-1.csv,2977.1412668093108,-1.4564103548378073,-1.5631142695593634,1.3581255542414434,0.1809706571012481,-0.1784,-0.45641035483780734,-0.5631142695593634,1.3581255542414434,0.3593706571012481,1.464410735719244,-1.247846491523155,-1.7095914437602213,0.43285080018785876,-0.20631356674416337,0.9996137890459583,1.0007118772851191,1.0004287001003753,1.0000335931455488,1.0000445710835864,0.3783612393159674,0.39507201548528675,0.39507201548528675
NA,0,0,-1,dinst3,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst3/econ_0_loc_0_glob_-1.csv,6155.408566023223,-0.44712457712035125,-0.8618436863471856,-0.12435072248989047,0.1910929050407295,-0.1784,-0.44712457712035125,0.13815631365281444,-0.12435072248989047,0.3694929050407295,1.5634606615549553,-0.24986020935506864,-0.984795147163,-0.9758493310462446,-0.19140040131616107,0.9996728534145596,0.9993479568682193,0.9995160601117833,0.9994961147506896,0.9995954541184872,0.41267214265372926,0.4481333086812316,0.4481333086812316
Econ,1,0,-1,dinst3,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst3/econ_1_loc_0_glob_-1.csv,8442.57991382177,0.4540639584067787,-0.7279820840343094,2.041932082584316,0.20058256009248188,-0.1784,-0.5459360415932213,0.2720179159656906,2.041932082584316,0.3789825600924819,1.2219322378855366,0.5325606479014597,-0.7613271179522914,1.7259755549074431,-0.05208361960560023,0.9994827368807765,0.999804461506907,0.9991576455457347,0.9996384802605266,0.9997757471775515,0.4595629811373304,0.5033824768280991,0.5033824768280991
Loc,-1,1,-1,dinst3,hindi,Econ+Glob,TRUE,stan_models/master_model.stan,hindi/dinst3/econ_-1_loc_1_glob_-1.csv,6306.6610125033185,-1.5213084424766856,-1.4814651899838662,1.165917784629035,0.1851996750925367,-0.1784,-0.5213084424766856,-0.4814651899838662,0.16591778462903495,0.3635996750925367,1.588047029946076,-1.330167127479416,-1.6142005210250232,0.2775405125770124,-0.18576085151825894,0.9996444711660298,1.000296850758625,1.0001066560653773,1.0003941480032494,0.9993254504259361,0.41383860117656524,0.4072654627934353,0.4072654627934353
Loc,0,1,-1,dinst3,hindi,Econ+Glob,TRUE,stan_models/master_model.stan,hindi/dinst3/econ_0_loc_1_glob_-1.csv,8442.881587927695,0.012568857079333588,-0.154097511120009,2.7827559470118124,0.19657543301794383,-0.1784,0.012568857079333588,0.845902488879991,1.7827559470118124,0.37497543301794384,1.1341276468562347,0.2811952614388324,-0.34627528970365956,1.5807163482733866,-0.22594298873681884,0.999437483463944,1.0008746122817205,0.9996085455768551,0.9998966994288374,0.9995970780129958,0.4820157934545945,0.5204898876144006,0.5204898876144006
Econ+Loc,1,1,-1,dinst3,hindi,Glob,TRUE,stan_models/master_model.stan,hindi/dinst3/econ_1_loc_1_glob_-1.csv,4832.2144986477215,0.4496169591996781,-0.6414956905518017,4.209080957815216,0.2092655218911405,-0.1784,-0.5503830408003219,0.35850430944819833,3.2090809578152157,0.3876655218911405,1.0545320350004859,0.5196331493660609,-0.6729248970310591,3.9136781201269506,-0.04600085918762218,0.9995805009533535,0.9995373538230387,0.9996898714517529,0.9993063024447016,0.9994453560932273,0.4512935663986003,0.472521325173038,0.472521325173038
NA,-1,-1,0,dinst3,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst3/econ_-1_loc_-1_glob_0.csv,2387.283594300039,-0.6876969532902761,0.05188233661483662,-3.494558576123849,0.17898852599223092,-0.1784,0.31230304670972386,0.05188233661483662,-2.494558576123849,0.3573885259922309,1.7169721952709875,-0.4717242534512243,-0.11385636565144962,-4.502962895547096,-0.2365451024096816,0.9995086853483826,1.000682321644547,0.9997156925326022,0.9998563376475841,0.9993944875725883,0.4091330332491341,0.44087371384941704,0.44087371384941704
