AB_Order,speaker_X,file_X,onset_X,offset_X,item_X,word_X,interval_X,sex_X,phone_X,language_X,triplet_id,distance_OTH,file_OTH,interval_OTH,item_OTH,language_OTH,offset_OTH,onset_OTH,phone_OTH,sex_OTH,speaker_OTH,word_OTH,distance_TGT,file_TGT,interval_TGT,item_TGT,language_TGT,offset_TGT,onset_TGT,phone_TGT,sex_TGT,speaker_TGT,word_TGT
TgtOth,Mnirbhay,stimuli_raw/wav/Mnirbhay2.wav,23.67,24.19,Mnirbhay2_6,AKHA,6,M,kʰ,ENG,t_0288921,0.283331432716557,stimuli_raw/wav/Fbhavya1.wav,11,Fbhavya1_11,HIN,76.92138,76.48,ɡʱ,False,Fbhavya,AGHA,0.233750512342083,stimuli_raw/wav/Fsakshi2.wav,5,Fsakshi2_5,ENG,41.4,40.94,kʰ,False,Fsakshi,AKHA
OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,35.21,35.69,Mrajesh1_4,AKHA,4,M,kʰ,ENG,t_0580729,0.272464801668149,stimuli_raw/wav/Fsakshi2.wav,12,Fsakshi2_12,HIN,63.6,63.18,ɡʱ,False,Fsakshi,AGHA,0.250158892823777,stimuli_raw/wav/Fbhavya2.wav,5,Fbhavya2_5,ENG,23.06,22.68,kʰ,False,Fbhavya,AKHA
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,35.21,35.69,Mrajesh1_4,AKHA,4,M,kʰ,ENG,t_0581617,0.362361152861336,stimuli_raw/wav/Fsakshi1.wav,26,Fsakshi1_26,HIN,101.99,101.56,d͡ʒʱ,False,Fsakshi,ADXHA,0.250158892823777,stimuli_raw/wav/Fbhavya2.wav,5,Fbhavya2_5,ENG,23.06,22.68,kʰ,False,Fbhavya,AKHA
OthTgt,Mnirbhay,stimuli_raw/wav/Mnirbhay2.wav,20.64,21.19,Mnirbhay2_5,AKHA,5,M,kʰ,ENG,t_0290684,0.330072867705816,stimuli_raw/wav/Fbhavya1.wav,27,Fbhavya1_27,HIN,197.66,197.23,d͡ʒʱ,False,Fbhavya,ADXHA,0.317618661742774,stimuli_raw/wav/Fsakshi2.wav,6,Fsakshi2_6,ENG,43.74,43.29,kʰ,False,Fsakshi,AKHA
TgtOth,Mnirbhay,stimuli_raw/wav/Mnirbhay1.wav,27.76,28.24,Mnirbhay1_5,AKHA,5,M,kʰ,ENG,t_1334558,0.284642504854319,stimuli_raw/wav/Fbhavya1.wav,31,Fbhavya1_31,HIN,229.46573,229.0929,ʈʰ,False,Fbhavya,ATRHA,0.279957510402743,stimuli_raw/wav/Fsakshi1.wav,5,Fsakshi1_5,ENG,37.26,36.75,kʰ,False,Fsakshi,AKHA
OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,35.21,35.69,Mrajesh1_4,AKHA,4,M,kʰ,ENG,t_0579109,0.250756926846064,stimuli_raw/wav/Fsakshi2.wav,32,Fsakshi2_32,HIN,143.98,143.61,ʈʰ,False,Fsakshi,ATRHA,0.241569216993095,stimuli_raw/wav/Fbhavya2.wav,4,Fbhavya2_4,ENG,20.78212,20.36,kʰ,False,Fbhavya,AKHA
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,20.9532,21.35,Mrajesh2_5,AKHA,5,M,kʰ,ENG,t_0581708,0.332767122946882,stimuli_raw/wav/Fsakshi1.wav,36,Fsakshi1_36,HIN,136.42,136.02507,ɖ,False,Fsakshi,ADRA,0.231778795183763,stimuli_raw/wav/Fbhavya2.wav,5,Fbhavya2_5,ENG,23.06,22.68,kʰ,False,Fbhavya,AKHA
OthTgt,Mnirbhay,stimuli_raw/wav/Mnirbhay1.wav,29.65,30.12,Mnirbhay1_6,AKHA,6,M,kʰ,ENG,t_0289023,0.344795274780997,stimuli_raw/wav/Fbhavya1.wav,34,Fbhavya1_34,HIN,244.21963,243.83139,ɖ,False,Fbhavya,ADRA,0.27612418609094,stimuli_raw/wav/Fsakshi2.wav,5,Fsakshi2_5,ENG,41.4,40.94,kʰ,False,Fsakshi,AKHA
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,38.74864,39.21422000000001,Mrajesh1_6,AKHA,6,M,kʰ,ENG,t_0580047,0.25116197525427,stimuli_raw/wav/Fsakshi1.wav,38,Fsakshi1_38,HIN,143.51,143.10779,ɖʱ,False,Fsakshi,ADRHA,0.255741084365816,stimuli_raw/wav/Fbhavya2.wav,4,Fbhavya2_4,ENG,20.78212,20.36,kʰ,False,Fbhavya,AKHA
OthTgt,Mnirbhay,stimuli_raw/wav/Mnirbhay1.wav,25.88,26.387620000000002,Mnirbhay1_4,AKHA,4,M,kʰ,ENG,t_1336369,0.315073952172978,stimuli_raw/wav/Fbhavya1.wav,39,Fbhavya1_39,HIN,265.54397,265.13,ɖʱ,False,Fbhavya,ADRHA,0.275516723015551,stimuli_raw/wav/Fsakshi1.wav,6,Fsakshi1_6,ENG,39.94,39.43,kʰ,False,Fsakshi,AKHA
TgtOth,Mnirbhay,stimuli_raw/wav/Mnirbhay1.wav,25.88,26.387620000000002,Mnirbhay1_4,AKHA,4,M,kʰ,ENG,t_0286537,0.337784329743866,stimuli_raw/wav/Fbhavya2.wav,51,Fbhavya2_51,HIN,157.52,157.20509,dʱ,False,Fbhavya,ADHA,0.28830128347156603,stimuli_raw/wav/Fsakshi2.wav,4,Fsakshi2_4,ENG,39.07,38.65,kʰ,False,Fsakshi,AKHA
OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,38.74864,39.21422000000001,Mrajesh1_6,AKHA,6,M,kʰ,ENG,t_1166181,0.257811774092473,stimuli_raw/wav/Fsakshi2.wav,51,Fsakshi2_51,HIN,217.12,216.68,dʱ,False,Fsakshi,ADHA,0.241396743111174,stimuli_raw/wav/Fbhavya1.wav,5,Fbhavya1_5,ENG,41.29,40.87,kʰ,False,Fbhavya,AKHA
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,35.21,35.69,Mrajesh1_4,AKHA,4,M,kʰ,ENG,t_1167883,0.321210356837229,stimuli_raw/wav/Fsakshi2.wav,65,Fsakshi2_65,HIN,272.59,272.14,bʱ,False,Fsakshi,ABHA,0.250258520849257,stimuli_raw/wav/Fbhavya1.wav,6,Fbhavya1_6,ENG,43.35,42.9,kʰ,False,Fbhavya,AKHA
OthTgt,Mnirbhay,stimuli_raw/wav/Mnirbhay1.wav,25.88,26.387620000000002,Mnirbhay1_4,AKHA,4,M,kʰ,ENG,t_0286573,0.318481216504905,stimuli_raw/wav/Fbhavya2.wav,66,Fbhavya2_66,HIN,196.56,196.17,bʱ,False,Fbhavya,ABHA,0.28830128347156603,stimuli_raw/wav/Fsakshi2.wav,4,Fsakshi2_4,ENG,39.07,38.65,kʰ,False,Fsakshi,AKHA
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,20.9532,21.35,Mrajesh2_5,AKHA,5,M,kʰ,ENG,t_1164566,0.296931778608217,stimuli_raw/wav/Fsakshi2.wav,95,Fsakshi2_95,HIN,390.55,390.17,ɣ,False,Fsakshi,ARRA,0.235392309590649,stimuli_raw/wav/Fbhavya1.wav,4,Fbhavya1_4,ENG,39.26,38.87,kʰ,False,Fbhavya,AKHA
OthTgt,Mnirbhay,stimuli_raw/wav/Mnirbhay2.wav,20.64,21.19,Mnirbhay2_5,AKHA,5,M,kʰ,ENG,t_0290036,0.287770517095092,stimuli_raw/wav/Fbhavya2.wav,96,Fbhavya2_96,HIN,276.43267,276.05,ɣ,False,Fbhavya,ARRA,0.317618661742774,stimuli_raw/wav/Fsakshi2.wav,6,Fsakshi2_6,ENG,43.74,43.29,kʰ,False,Fsakshi,AKHA
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,19.21365,19.62,Mrajesh2_4,AKHA,4,M,kʰ,ENG,t_0580171,0.242200722040899,stimuli_raw/wav/Fsakshi1.wav,90,Fsakshi1_90,HIN,340.93,340.53772,x,False,Fsakshi,ARHA,0.249523419587264,stimuli_raw/wav/Fbhavya2.wav,4,Fbhavya2_4,ENG,20.78212,20.36,kʰ,False,Fbhavya,AKHA
OthTgt,Mnirbhay,stimuli_raw/wav/Mnirbhay2.wav,23.67,24.19,Mnirbhay2_6,AKHA,6,M,kʰ,ENG,t_1334769,0.270636040533977,stimuli_raw/wav/Fbhavya1.wav,100,Fbhavya1_100,HIN,632.9127,632.49827,x,False,Fbhavya,ARHA,0.241726658101829,stimuli_raw/wav/Fsakshi1.wav,5,Fsakshi1_5,ENG,37.26,36.75,kʰ,False,Fsakshi,AKHA
